"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"PE","","Peru","","Amazonas","","Bagua","","Aramango","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bagua","","Copallin","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bagua","","ElParco","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bagua","","Imaza","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bagua","","LaPeca","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Chisquilla","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Churuja","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Corosha","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Cuispes","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Florida","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Jazan","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Jumbilla","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Recta","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","SanCarlos","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Shipasbamba","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Valera","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Bongará","","Yambrasbamba","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Asuncion","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Balsas","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Chachapoyas","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Cheto","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Chiliquin","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Chuquibamba","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Granada","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Huancas","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","LaJalca","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Leimebamba","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Levanto","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Magdalena","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","MariscalCastilla","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Molinopampa","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Montevideo","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Olleros","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Quinjalca","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","SanFranciscodeDaguas","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","SanIsidrodeMaino","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Soloco","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Chachapoyas","","Sonche","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Condorcanqui","","ElCenepa","","","","","","","America/Lima","-05.00"
"PE","","Peru","","Amazonas","","Condorcanqui","","Nieva","","","","","","","America/Lima","-05.00"
