"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"PH","Philippines","Philippines","","Abra","","Bangued","","Agtangao","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Angad","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Bañacao","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Bangbangar","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Cabuloan","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Calaba","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","Proper","CosiliEast","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","Buaya","CosiliWest","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Dangdangla","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Lingtan","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Lipcan","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Lubong","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Macarcarmay","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Macray","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Malita","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Maoay","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Palao","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Patucany","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Sagap","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Santonio","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","SantaRosa","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Sao-Atan","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","","Sappaac","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","Calot","Tablac","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","lasin","Zone1Poblacion","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","Consiliman","Zone2Poblacion","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","Lalaud","Zone3Poblacion","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","TownProper","Zone4Poblacion","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","Bo.Barikir","Zone5Poblacion","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","Sipangan","Zone6Poblacion","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bangued","Baliling","Zone7Poblacion","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Boliney","","Amti","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Boliney","","Bao-Yan","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Boliney","","DacEast","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Boliney","","DacWest","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Boliney","","Dao-Angan","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Boliney","","Dumagas","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Boliney","","Kilong-Olao","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Boliney","Boliney","Poblacion","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bucay","","Abang","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bucay","","Bangbangcag","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bucay","","Bangcagan","","","","","","","Asia/Manila","+08.00"
"PH","Philippines","Philippines","","Abra","","Bucay","","Banglolao","","","","","","","Asia/Manila","+08.00"
