"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"PL","Polska","Poland","Greater Poland","Greater Poland","Kalisz","Kalisz","Kalisz","Kalisz","Kalisz","Kalisz","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin","Konin","Konin","Konin","Konin","Konin","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Adamów","Adamów","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Barbarka","Barbarka","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Bobrowo","Bobrowo","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Brzeźniak","Brzeźniak","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Chrusty","Chrusty","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Golina","Golina","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Golina-Kolonia","Golina-Kolonia","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Głodowo","Głodowo","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Kawnice","Kawnice","","","","","Europe/Warsaw","+01.00"
"PL","Polska","Poland","Greater Poland","Greater Poland","Konin County","Konin County","Gmina Golina","Gmina Golina","Kolno","Kolno","","","","","Europe/Warsaw","+01.00"
