"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Albergaria-A-Velha","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Albergaria-a-Nova","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Alquerubim","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Alto dos Barreiros","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Ameal","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Angeja","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Azenhas","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Açores","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Barroca","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Beduído","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Boavista","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Branca","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Busturenga","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Cabeça","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Cabeço São Silvestre","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Calvães","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Campo","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Cancela","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Cardeal","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Carvalhais","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Carvalhal","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Casaldelo","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Casaldima","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Chaque","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Coche","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Coucinho","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Cristelo","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Cruzinha","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Eiras","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Escusa","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Escusa de Cima","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Espinheira","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Estrada","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Feira Nova","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Fial","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Fontes","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Fontão","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Foz do Rio Mau","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Fradelos","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Frias","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Frias de Baixo","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Frias de Cima","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Frossos","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Fráguas","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Fundo de Vila","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Gavião","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Igreja","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Laginhas","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Lameira","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Lapa","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Loure","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Mouquim","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Mundo Novo","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Nobrijo","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Outeirinho","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Outeiro","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Padrão","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Palhal","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Pardos","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Paus","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Pinheiro","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Póvoa","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Quinta","","","","","","","Europe/Lisbon","+00.00"
"PT","","Portugal","","Aveiro","","Albergaria-a-Velha","","Quinta das Azenhas","","","","","","","Europe/Lisbon","+00.00"
