"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الجسرة","Al Jasrah","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","البدع","Al Bidda","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","فريج محمد بن جاسم","Fereej Mohamed Bin Jasim","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","مشيرب","Mushayrib","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","النجادة","Al Najada","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الغانم العتيق","Old Al Ghanim","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","السوق","Al Souq","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","وادي السيل","Wadi Al Sail","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الرميلة","Rumeilah","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","فريج عبد العزيز","Fereej Abdel Aziz","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الدوحة الجديدة","Ad Dawhah al Jadidah","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الرفاع","Al Rufaa","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","اسلطة","As Salatah","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","ميناء الدوحة","Doha Port","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","فريج بن محمود","Fereej Bin Mahmoud","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","روضة الخيل","Rawdat Al Khail","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","فريج بن درهم","Fereej Bin Durham","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","نجمة","Najma","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","أم غويلينة","Umm Ghuwailina","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الخليفات","Al Khulaifat","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","دحيل","Duhail","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","أم لخبا","Umm Lekhba","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","مدينة خليفة الشمالية","Madinat Khalifa North","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","المرخية","Al Markhiya","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","مدينة خليفة الجنوبية","Madinat Khalifa South","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","فريج كليب","Fereej Kulaib","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","المسيلة","Al Messila","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","فريج بن عمران","Fereej Bin Omran","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","السد","Al Sadd","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","اسلطة الجديدة","New Salatah","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","نعيجة","Nuaija","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الهلال","Al Hilal","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","المطار العتيق","Old Airport","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الثمامة","Al Thumama","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","مطار الدوحة الدولي","Doha International Airport","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","المنطقة الصناعية","Industrial Area","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الدفنة","Al Dafna","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","عنيزة","Onaiza","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","لجبيلات","Lejbailat","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","لقطيفية","Leqtaifiya","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","حزم المرخية","Hazm Al Markhiya","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الدوحة","Ad Dawhah","الجليعة","Jelaiah","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","الغرافة","Al Gharrafa","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","اللقطة","Al Luqta","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","الريان الجديد","New Al Rayyan","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","فريج الأمير","Fereej Al Amir","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","فريج السودان","Fereej Al Soudan","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","بو سمرة","Bu Samra","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","مبيريك","Mebaireek","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","الكرعانة","Al Karaana","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","أبو سمرة","Abu Samra","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الريان","Al Rayyan","سودا نثيل","Sawda Natheel","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الضعاين","Al Daayen","جبل ثعيلب","Jabal Thuaileb","","","","","","","","","Asia/Qatar","+03.00"
"QA","قطر","Qatar","الضعاين","Al Daayen","لعبيب","Leabaib","","","","","","","","","Asia/Qatar","+03.00"
