"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"RO","România","Romania","Alba","Alba","Abrud","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Aiud","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Alba Iulia","Alba Iulia","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Albac","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Almașu Mare","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Arieșeni","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Avram Iancu","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Baia de Arieș","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Berghin","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Bistra","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Blaj","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Blandiana","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Bucerdea Grânoasă","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Bucium","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Cenade","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Cergău","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Ceru-Băcăinți","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Cetatea de Baltă","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Ciugud","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Ciuruleasa","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Cricău","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Cugir","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Cut","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Câlnic","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Câmpeni","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Daia Română","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Doștat","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Fărău","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Galda de Jos","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Gârbova","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Gârda de Sus","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Hopârta","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Horea","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Ighiu","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Jidvei","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Livezile","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Lopadea Nouă","","","","","","","","","","Europe/Bucharest","+02.00"
"RO","România","Romania","Alba","Alba","Lunca Mureșului","","","","","","","","","","Europe/Bucharest","+02.00"
