"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Алибунар","Alibunar","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Владимировац","Vladimirovac","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Девојачки Бунар","Devojački Bunar","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Банатски Карловац","Banatski Karlovac","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Николинци","Nikolinci","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Селеуш","Seleuš","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Иланџа","Ilandža","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Нови Козјак","Novi Kozjak","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Добрица","Dobrica","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Локве","Lokve","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Алибунар","Alibunar","","","Јаношик","Janošik","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Црвена Црква","Crvena Crkva","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Банатска Паланка","Banatska Palanka","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Банатска Суботица","Banatska Subotica","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Дупљаја","Dupljaja","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Кајтасово","Kajtasovo","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Бела Црква","Bela Crkva","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Јасеново","Jasenovo","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Гребенац","Grebenac","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Врачев Гај","Vračev Gaj","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Бела Црква","Bela Crkva","","","Кусић","Kusić","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Вршац","Vršac","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Уљма","Uljma","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Ритишево","Ritiševo","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Влајковац","Vlajkovac","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Павлиш","Pavliš","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Велико Средиште","Veliko Središte","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Гудурица","Gudurica","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Куштиљ","Kuštilj","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Ватин","Vatin","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Војводинци","Vojvodinci","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Избиште","Izbište","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Загајица","Zagajica","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Вршац","Vršac","","","Стража","Straža","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковачица","Kovačica","","","Идвор","Idvor","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковачица","Kovačica","","","Ковачица","Kovačica","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковачица","Kovačica","","","Црепаја","Crepaja","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковачица","Kovačica","","","Дебељача","Debeljača","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковачица","Kovačica","","","Падина","Padina","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковачица","Kovačica","","","Уздин","Uzdin","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковачица","Kovačica","","","Самош","Samoš","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковин","Kovin","","","Ковин","Kovin","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковин","Kovin","","","Баваниште","Bavanište","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковин","Kovin","","","Гај","Gaj","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковин","Kovin","","","Дубовац","Dubovac","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковин","Kovin","","","Делиблато","Deliblato","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковин","Kovin","","","Мраморак","Mramorak","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковин","Kovin","","","Скореновац","Skorenovac","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Ковин","Kovin","","","Плочица","Pločica","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Опово","Opovo","","","Сефкерин","Sefkerin","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Опово","Opovo","","","Опово","Opovo","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Опово","Opovo","","","Баранда","Baranda","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Опово","Opovo","","","Сакуле","Sakule","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Панчево","Pančevo","","","Панчево","Pančevo","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Панчево","Pančevo","","","Јабука","Jabuka","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Панчево","Pančevo","","","Глогоњ","Glogonj","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Панчево","Pančevo","","","Качарево","Kačarevo","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Панчево","Pančevo","","","Долово","Dolovo","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Панчево","Pančevo","","","Омољица","Omoljica","","","Europe/Belgrade","+01.00"
"RS","Србија","Serbia","Војводина","Vojvodina","Јужно-Банатски округ","South Banat District","Панчево","Pančevo","","","Старчево","Starčevo","","","Europe/Belgrade","+01.00"
