"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"RU","","Russia","РеспубликаАдыгея","Adygey","Гиагинскийрайон","Giaginskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","РеспубликаАдыгея","Adygey","Кошехабaльскийрайон","Koshekhabl'skiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","РеспубликаАдыгея","Adygey","Красногвардейскийрайон","Krasnogvardeyskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","РеспубликаАдыгея","Adygey","Майкоп","Maykop","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","РеспубликаАдыгея","Adygey","Майкопскийрайон","Maykopskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","РеспубликаАдыгея","Adygey","Шовгеновскийрайон","Shovgenovskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","РеспубликаАдыгея","Adygey","Тахтамукайскийрайон","Takhtamukayskrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","РеспубликаАдыгея","Adygey","Теучежскийрайон","Teuchezhskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Але́йск)","Aleysk","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Алейскийрайон","Aleyskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Алтайскийрайон","Altayskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Баевскийрайон","Baevskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Барнаул(горсовет)","Barnaulgorsovet","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Белокуриха","Belokurikha","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Бийск","Biysk","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Бийскийрайон","Biyskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Благовещенскийрайон","Blagoveshchenskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Бурлинскийрайон","Burlinskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Быстроистокскийрайон","Bystroistokskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Чарушскийрайон","Charyshskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Егорьевскийрайон","Egor'evskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Ельцовскийрайон","El'tsovskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Калманскийрайон","Kalmanskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Каменскийрайон","Kamenskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Хабарский","Khabarskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Ключевскийрайон","Klyuchevskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Косикинскийрайон","Kosikhinskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Красногорскийрайон","Krasnogorskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Краснощековскийрайон","Krasnoshchekovskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Крутихинскийрайон","Krutikhinskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Кулундинскийрайон","Kulundinskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Курьинскийрайон","Kur'inskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Кытмановскийрайон","Kytmanovskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Локтевскийрайон","Loktevskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
"RU","","Russia","Алтайскийкрай","Altay","Мамонтовскийрайон","Mamontovskiyrayon","","","","","","","","","Europe/Moscow","+03.00"
