"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","أم العراد","Umm Al Arad","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","أم غور","Umm Ghawr","الرابية","Al Rabiyah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","أم غور","Umm Ghawr","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابرقية","Abraqiyah","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابن سرحان","Ibn Sirhan","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابن شرار","Ibn Sharar","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابن طوالة","Ibn Tuwalah","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابو حدرية","Abu Hadriyah","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابو طوطاحه البرازي","Abu Tutahah Al Barazi","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابو معن","Abu Maan","ابو معن","Abu Main","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابو معن","Abu Maan","الرويحة","Al Ruwaihah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابو معن","Abu Maan","المصيف","Al Masif","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","ابو معن","Abu Maan","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","الاندلس","Al Andalus","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","البساتين","Al Basatin","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","السحيمية","Al Suhaimiyah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","السلام الأول","Al Salam 1st","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","الصناعية","Al Sinaiyah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","العليا","Al Olaya","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","الفيصل","Al Faisal","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","بو سحبل الأول","Abu Sahbal 1st","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","قرطبة","Qurtubah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","محاسن ارامكو الأول","Mahasin Aramco 1st","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","محاسن ارامكو الخامس","Mahasin Aramco 5th","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","محاسن الثاني","Mahasin 2nd","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","محيرس","Mahairis","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","مدينة الملك عبدالله العسكرية","King Abdullah Military City","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الاحساء","Al Ahsa","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","البقيق","Al Baqaiq","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","البويبيات","Al Buwaybiyat","الروضة","Al Rawdah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","البويبيات","Al Buwaybiyat","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","التوضيحية","Al Tawdihiyyah","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الثمامة","Al Thumamah","","","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","ابو موسى الاشعري","Abu Musa Al Ashary","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الجوهرة","Al Jawharah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الحجاز","Al Hijaz","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الحمراء","Al Hamra","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الحويلات","Al Huwaylat","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الروضة","Al Rawdah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","السلام","Al Salam","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الضباب","Al Dabab","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","العزيزية","Al Aziziyah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الفاروق","Al Farouq","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الفردوس","Al Firdaws","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","الفيحاء","Al Fayha","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","اللؤلؤ","Al Lualu","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","المرقاب","Al Merqab","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","المطرفية","Al Matrafiyah","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","المنطقة الصناعية","Industrial Area","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","المنطقة الصناعية الاولى","1st Industrial Area","","","","","","","Arabia Standard Time","+03.00"
"SA","العربية السعودية","Saudi Arabia","المنطقة الشرقية","Eastern Province","الجبيل","Al Jubail","المنطقة الصناعية الثالثة","3rd Industrial Area","","","","","","","Arabia Standard Time","+03.00"
