"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlshamn","","Asarum","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlshamn","","Karlshamn","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlshamn","","Mörrum","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlshamn","","Svängsta","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlshamn","","Trensum","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Drottningskär","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Fridlevstad","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Fägelmara","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Fågelmara","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Hasslö","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Holmsjö","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Jämjö","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Karlskrona","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Lyckeby","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Nättraby","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Ramdala","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Rödeby","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Senoren","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Sturkö","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Tjurkö","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Torhamn","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Karlskrona","","Tving","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Olofström","","Jämshög","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Skåne","Olofström","","Jämshög","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Olofström","","Kyrkhult","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Olofström","","Olofström","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Skåne","Olofström","","Vilshult","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Backaryd","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Bräkne Hoby","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Bräkne-Hoby","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Eringsboda","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Hallabro","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Johannishus","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Kallinge","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Listerby","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Ronneby","","Ronneby","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Blekinge","Sölvesborg","","Sölvesborg","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Blekinge Län","Västra Götaland","Sölvesborg","","Torsö","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Avesta","","Avesta","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Avesta","","By Kyrkby","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Avesta","","Fors","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Avesta","","Horndal","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Gävleborg","Avesta","","Horndal","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Avesta","","Krylbo","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Borlänge","","Borlänge","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Borlänge","","Idkerberget","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Falun","","Bjursås","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Gävleborg","Falun","","Enviken","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Falun","","Falun","","","","","","","","Europe/Stockholm","+01.00"
"SE","Sverige","Sweden","Dalarnas Län","Dalarna","Falun","","Furudal","","","","","","","","Europe/Stockholm","+01.00"
