"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Tanjong Rhu","Tanjong Rhu","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Kampong Bugis","Kampong Bugis","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Lavender","Lavender","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Kampong Java","Kampong Java","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Boon Keng","Boon Keng","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Kallang Bahru","Kallang Bahru","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Geylang Bahru","Geylang Bahru","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Bendemeer","Bendemeer","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Kallang","Kallang","Crawford","Crawford","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Anson","Anson","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Tanjong Pagar","Tanjong Pagar","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Maxwell","Maxwell","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Cecil","Cecil","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Central Subzone","Central Subzone","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Phillip","Phillip","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Raffles Place","Raffles Place","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Bayfront Subzone","Bayfront Subzone","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Clifford Pier","Clifford Pier","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Marina Centre","Marina Centre","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","City Hall","City Hall","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Bugis","Bugis","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Downtown Core","Downtown Core","Nicoll","Nicoll","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Marina East","Marina East","Marina East","Marina East","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Marine Parade","Marine Parade","Katong","Katong","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Marine Parade","Marine Parade","East Coast","East Coast","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Marine Parade","Marine Parade","Marine Parade","Marine Parade","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Marine Parade","Marine Parade","Mountbatten","Mountbatten","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Marine Parade","Marine Parade","Marina East","Marina East","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Bukit Merah","Bukit Merah","City Terminals","City Terminals","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Bukit Merah","Bukit Merah","Telok Blangah Rise","Telok Blangah Rise","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Bukit Merah","Bukit Merah","Everton Park","Everton Park","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Bukit Merah","Bukit Merah","Telok Blangah Way","Telok Blangah Way","","","","","","","Asia/Singapore","+08.00"
"SG","Singapore","Singapore","Central","Central","Bukit Merah","Bukit Merah","Kampong Tiong Bahru","Kampong Tiong Bahru","","","","","","","Asia/Singapore","+08.00"
