"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"SI","Slovenija","Slovenia","Gorenjska","","Bled","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Bohinj","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","CerkljenaGorenjskem","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","GorenjaVas-Poljane","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Jesenice","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Jezersko","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Kranj","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","KranjskaGora","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Naklo","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Preddvor","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Radovljica","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Šenčur","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","ŠkofjaLoka","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Tržič","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Železniki","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Žiri","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Gorenjska","","Žirovnica","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Ajdovščina","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Bovec","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Brda","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Cerkno","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Idrija","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Kanal","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Kobarid","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Miren-Kostanjevica","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","NovaGorica","","","","","","","","","","Europe/Ljubljana","+02.00"
"SI","Slovenija","Slovenia","Goriška","","Šempeter-Vrtojba","","","","","","","","","","Europe/Ljubljana","+02.00"
