"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Badín","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Baláže","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Banská Bystrica","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Banská Bystrica 1","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Brusno","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Dolná Mičiná","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Dolný Harmanec","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Donovaly","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Dúbravica","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Harmanec","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Hiadeľ","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Horná Mičiná","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Horné Pršany","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Hrochoť","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Hronsek","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Kordíky","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Králiky","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Kynceľová","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Lučatín","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Malachov","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Medzibrod","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Motyčky","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Moštenica","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Môlča","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Nemce","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Oravce","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Podkonice","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Pohronský Bukovec","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Poniky","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Povrazník","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Priechod","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Riečka","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Sebedín-Bečov","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Selce","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Slovenská Ľupča","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Staré Hory","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Strelníky","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Tajov","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Turecká","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Vlkanová","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Čerín - Čačín","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Ľubietová","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Špania Dolina","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Bystrica","","Štiavnička","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Banská Belá","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Banská Štiavnica","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Banská Štiavnica 1","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Banský Studenec","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Baďan","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Beluj","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Dekýš","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Ilija","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Kozelník","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Kysihýbel","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Močiar","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Podhorie","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Počúvadlo","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Prenčov","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Rychňava","","","","","","","Europe/Bratislava","+01.00"
"SK","","Slovakia","","Banska Bystrica","","Okres Banská Štiavnica","","Svätý Anton","","","","","","","Europe/Bratislava","+01.00"
