"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"SR","","Suriname","","Brokopondo","","Brownsweg","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Brokopondo","","Centrum Brokopondo","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Brokopondo","","Klaaskreek","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Brokopondo","","Kwakoegron","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Brokopondo","","Marchallkreek","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Brokopondo","","Sarakreek","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Commewijne","","Alkmaar","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Commewijne","","Bakkie","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Commewijne","","Margaretha","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Commewijne","","Meerzorg","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Commewijne","","Nieuw-Amsterdam","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Commewijne","","Tamanredjo","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Coronie","","Johanna Maria","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Coronie","","Totness","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Coronie","","Welgelegen","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Marowijne","","Albina","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Marowijne","","Wanhatti","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Marowijne","","Moengo","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Marowijne","","Moengotapoe","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Marowijne","","Patamacca","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Nickerie","","Groot Henar","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Nickerie","","Nieuw-Nickerie","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Nickerie","","Oost Polders","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Nickerie","","Wageningen","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Nickerie","","West Polders","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Para","","Bigi Poika","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Para","","Carolina","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Para","","Noord","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Para","","Oost","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Para","","Zuid","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Beekhuizen","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Blauwgrond","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Centrum Paramaribo","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Flora","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Latour","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Livorno","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Munder","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Pontbuiten","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Tammenga","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Weg naar Zee","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Paramaribo","","Welgelegen","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Saramacca","","Calcutta","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Saramacca","","Groningen","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Saramacca","","Jarikaba","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Saramacca","","Kampong Baroe","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Saramacca","","Tijgerkreek","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Saramacca","","Wayomboweg","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Sipaliwini","","Boven Suriname","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Sipaliwini","","Boven Saramacca","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Sipaliwini","","Coeroeni","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Sipaliwini","","Boven Coppename","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Sipaliwini","","Kabalebo","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Sipaliwini","","Tapanahony","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Wanica","","De Nieuwe Grond","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Wanica","","Domburg","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Wanica","","Houttuin","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Wanica","","Koewarasan","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Wanica","","Kwatta","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Wanica","","Lelydorp","","","","","","","","","America/Paramaribo","-03.00"
"SR","","Suriname","","Wanica","","Saramacca Polder","","","","","","","","","America/Paramaribo","-03.00"
