"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"TG","Togo","Togo","","Centre","","Blitta","","Agbandi","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Atchintse","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Blitta-Gare","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Blitta Village","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Diguengue","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Dikpeleou","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Doufouli","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Katchenke","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Koffiti","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Langabou","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","M'Poti","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Pagala Gare","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Pagala Village","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Tchaloude","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Tchare-Baou","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Tchifama","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Tintchro","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Waragni","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Welly","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Yaloumbe","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Blitta","","Yegue","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Mô","","Boulohou","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Mô","","Djarkpanga","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Mô","","Kagnigbara","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Mô","","Saiboude","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Mô","","Tindjassi","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Sotouboua","","Adjengere","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Sotouboua","","Aouda","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Sotouboua","","Bodjonde","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Sotouboua","","Fazao","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Sotouboua","","Kaniamboua","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Sotouboua","","Kazaboua","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Sotouboua","","Sessaro","","","","","","","Africa/Lome","+00.00"
"TG","Togo","Togo","","Centre","","Sotouboua","","Sotouboua","","","","","","","Africa/Lome","+00.00"
