"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"TH","ประเทศไทย","Thailand","กระบี่","Krabi","คลองท่อม","Khlong Thom","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กระบี่","Krabi","ปลายพระยา","Plai Phraya","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กระบี่","Krabi","ลำทับ","Lam Thap","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กระบี่","Krabi","อ่าวลึก","Ao Luek","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กระบี่","Krabi","เกาะลันตา","Ko Lanta Yai","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กระบี่","Krabi","เขาพนม","Khao Phanom","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กระบี่","Krabi","เมืองกระบี่","Krabi","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กระบี่","Krabi","เหนือคลอง","Nuea Khlong","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","คลองเตย","Khlong Toei","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","จตุจักร","Chatuchak","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ดอนเมือง","Don Mueang","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ดุสิต","Dusit","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ตลิ่งชัน","Taling Chan","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ธนบุรี","Thon Buri","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","บางขุนเทียน","Bang Khun Thian","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","บางซื่อ","Bang Sue","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","บางพลัด","Bang Phlat","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","บางรัก","Bang Rak","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","บางเขน","Bang Khen","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","บึงกุ่ม","Bueng Kum","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ปทุมวัน","Pathum Wan","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ประเวศ","Prawet","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ป้อมปราบศัตรูพ่าย","Pom Prap Sattru Phai","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","พระนคร","Phra Nakhon","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","พระโขนง","Phra Khanong","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ภาษีเจริญ","Phasi Charoen","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","มีนบุรี","Min Buri","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ราชเทวี","Ratchathewi","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ราษฎร์บูรณะ","Rat Burana","","","","","","","","","Asia/Bangkok","+07.00"
"TH","ประเทศไทย","Thailand","กรุงเทพมหานคร","Bangkok","ลาดกระบัง","Lat Krabang","","","","","","","","","Asia/Bangkok","+07.00"
