"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Akören","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Boztahta","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Büyüksofulu","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Ceritler","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Darilik","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Dayilar","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Dölekli","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Eğner","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Gerdibi","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Gökçe","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Kabasakal","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Karahan","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Karsanti","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Kicak","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Kizildam","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Kişlak","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Kökez","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Köprücek","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Küp","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Madenli","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Mazilik","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Topalli","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Uzunkuyu","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Yağbasan","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Yeniköy","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Yetimli","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","Yüksekören","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Aladağ(Karsanti)","","İbrişim","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Ceyhan","","Adapinar","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Ceyhan","","Akdam","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Ceyhan","","Altigöz","","","","","","","Europe/Istanbul","+03.00"
"TR","","Turkey","","Adana","","Ceyhan","","Altikara","","","","","","","Europe/Istanbul","+03.00"
