"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"TW","台灣","Taiwan","台北市","Taipei City","中正區","Zhongzheng District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","大同區","Datong District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","中山區","Zhongshan District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","松山區","Songshan District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","大安區","Da'an District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","萬華區","Wanhua District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","信義區","Xinyi District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","士林區","Shilin District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","北投區","Beitou District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","內湖區","Neihu District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","南港區","Nangang District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","台北市","Taipei City","文山區","Wenshan District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","基隆市","Keelung City","仁愛區","Ren'ai District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","基隆市","Keelung City","信義區","Xinyi District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","基隆市","Keelung City","中正區","Zhongzheng District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","基隆市","Keelung City","中山區","Zhongshan District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","基隆市","Keelung City","安樂區","Anle District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","基隆市","Keelung City","暖暖區","Nuannuan District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","基隆市","Keelung City","七堵區","Qidu District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","萬里區","Wanli District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","金山區","Jinshan District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","板橋區","Banqiao District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","中和區","Zhonghe District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","汐止區","Xizhi District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","深坑區","Shenkeng District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","石碇區","Shiding District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","瑞芳區","Ruifang District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","平溪區","Pingxi District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","雙溪區","Shuangxi District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","貢寮區","Gongliao District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","新店區","Xindian District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","坪林區","Pinglin District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","烏來區","Wulai District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","永和區","Yonghe District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","土城區","Tucheng District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","三峽區","Sanxia District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","樹林區","Shulin District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","鶯歌區","Yingge District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","三重區","Sanchong District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","新莊區","Xinzhuang District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","泰山區","Taishan District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","林口區","Linkou District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","蘆洲區","Luzhou District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","五股區","Wugu District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","八里區","Bali District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","淡水區","Tamsui District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","三芝區","Sanzhi District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","新北市","New Taipei City","石門區","Shimen District","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","宜蘭市","Yilan City","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","頭城鎮","Toucheng Township","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","礁溪鄉","Jiaoxi Township","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","壯圍鄉","Zhuangwei Township","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","員山鄉","Yuanshan Township","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","羅東鎮","Luodong Township","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","三星鄉","Sanxing Township","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","大同鄉","Datong Township","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","五結鄉","Wujie Township","","","","","","","","","Asia/Taipei","+08.00"
"TW","台灣","Taiwan","宜蘭縣","Yilan County","冬山鄉","Dongshan Township","","","","","","","","","Asia/Taipei","+08.00"
