"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"TZ","","Tanzania","","Arusha","","Arusha","","Arumeru","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Arusha","","Arusha","","Arusha","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Arusha","","Arusha","","Karatu","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Arusha","","Arusha","","Monduli","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Arusha","","Arusha","","Ngorongoro","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Dar es Salaam","","Dar es Salaam","","Ilala","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Dar es Salaam","","Dar es Salaam","","Kinondoni","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Dar es Salaam","","Dar es Salaam","","Temeke","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Dodoma","","Dodoma","","Dodoma Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Dodoma","","Dodoma","","Dodoma Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Dodoma","","Dodoma","","Kondoa","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Dodoma","","Dodoma","","Kongwa","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Dodoma","","Dodoma","","Mpwapwa","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Iringa","","Iringa","","Iringa Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Iringa","","Iringa","","Iringa Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Iringa","","Iringa","","Kilolo","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Iringa","","Iringa","","Ludewa","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Iringa","","Iringa","","Makete","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Iringa","","Iringa","","Mufindi","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Iringa","","Iringa","","Njombe","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kagera","","Kagera","","Biharamulo","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kagera","","Kagera","","Bukoba Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kagera","","Kagera","","Bukoba Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kagera","","Kagera","","Karagwe","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kagera","","Kagera","","Ngara","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kigoma","","Kigoma","","Kasulu","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kigoma","","Kigoma","","Kibondo","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kigoma","","Kigoma","","Kigoma Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kigoma","","Kigoma","","Kigoma Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kilimanjaro","","Kilimanjaro","","Hai","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kilimanjaro","","Kilimanjaro","","Moshi Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kilimanjaro","","Kilimanjaro","","Moshi Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kilimanjaro","","Kilimanjaro","","Mwanga","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kilimanjaro","","Kilimanjaro","","Rombo","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Kilimanjaro","","Kilimanjaro","","Same","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Lindi","","Lindi","","Kilwa","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Lindi","","Lindi","","Lindi Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Lindi","","Lindi","","Lindi Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Lindi","","Lindi","","Nachingwea","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Lindi","","Lindi","","Ruangwa","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Manyara","","Manyara","","Babati","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Manyara","","Manyara","","Hanang","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Manyara","","Manyara","","Kiteto","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Manyara","","Manyara","","Mbulu","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Manyara","","Manyara","","Simanjiro","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mara","","Mara","","Bunda","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mara","","Mara","","Musoma Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mara","","Mara","","Musoma Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mara","","Mara","","Serengeti","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mara","","Mara","","Tarime","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mbeya","","Mbeya","","Chunya","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mbeya","","Mbeya","","Ileje","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mbeya","","Mbeya","","Kyela","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mbeya","","Mbeya","","Mbarali","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mbeya","","Mbeya","","Mbeya Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mbeya","","Mbeya","","Mbozi","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mbeya","","Mbeya","","Rungwe","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Morogoro","","Morogoro","","Kilombero","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Morogoro","","Morogoro","","Kilosa","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Morogoro","","Morogoro","","Morogoro Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Morogoro","","Morogoro","","Morogoro Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Morogoro","","Morogoro","","Mvomero","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Morogoro","","Morogoro","","Ulanga","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mtwara","","Mtwara","","Masasi","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mtwara","","Mtwara","","Mtwara Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mtwara","","Mtwara","","Newala","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mtwara","","Mtwara","","Tandahimba","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mwanza","","Mwanza","","Geita","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mwanza","","Mwanza","","Kwimba","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mwanza","","Mwanza","","Magu","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mwanza","","Mwanza","","Misungwi","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Mwanza","","Mwanza","","Sengerema","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Pemba South","","Pemba South","","Mkoani","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Pwani","","Pwani","","Bagamoyo","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Pwani","","Pwani","","Kibaha","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Pwani","","Pwani","","Kisarawe","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Pwani","","Pwani","","Mafia","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Pwani","","Pwani","","Mkuranga","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Pwani","","Pwani","","Rufiji","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Rukwa","","Rukwa","","Mpanda","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Rukwa","","Rukwa","","Nkasi","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Rukwa","","Rukwa","","Sumbawanga Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Rukwa","","Rukwa","","Sumbawanga Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Ruvuma","","Ruvuma","","Mbinga","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Ruvuma","","Ruvuma","","Namtumbo","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Ruvuma","","Ruvuma","","Songea Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Ruvuma","","Ruvuma","","Songea Urban","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Ruvuma","","Ruvuma","","Tunduru","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Shinyanga","","Shinyanga","","Bariadi","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Shinyanga","","Shinyanga","","Bukombe","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Shinyanga","","Shinyanga","","Kahama","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Shinyanga","","Shinyanga","","Kishapu","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Shinyanga","","Shinyanga","","Maswa","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Shinyanga","","Shinyanga","","Meatu","","","","","","","Africa/Dar_es_Salaam","+03.00"
"TZ","","Tanzania","","Shinyanga","","Shinyanga","","Shinyanga Rural","","","","","","","Africa/Dar_es_Salaam","+03.00"
