"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"UA","Україна","Ukraine","Автономна Республіка Крим","Autonomous Republic of Crimea","Сімферопольський район","","Добрівська сільська рада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Автономна Республіка Крим","Autonomous Republic of Crimea","Сакський район","","Охотниківська сільська рада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Автономна Республіка Крим","Autonomous Republic of Crimea","Сакський район","","Геройська сільська рада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Автономна Республіка Крим","Autonomous Republic of Crimea","Красноперекопський район","","Іллінська сільська рада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Автономна Республіка Крим","Autonomous Republic of Crimea","Судак","","Сонячнодолинська сільська рада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Автономна Республіка Крим","Autonomous Republic of Crimea","Чорноморський район","","Далеківська сільська рада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Автономна Республіка Крим","Autonomous Republic of Crimea","Совєтський район","","Краснофлотська сільська рада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Черкаська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Канівська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Чорнобаївська селищна громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Бобрицька сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Ліплявська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Степанецька сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Городищенська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Уманський район","","Монастирищенська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Уманський район","","Жашківська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Новодмитрівська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Уманський район","","Баштечківська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Уманський район","","Буцька селищна громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Уманський район","","Христинівська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Звенигородський район","","Лисянська селищна громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Будищенська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Звенигородський район","","Бужанська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Звенигородський район","","Виноградська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Звенигородський район","","Водяницька сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Михайлівська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Корсунь-Шевченківська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Гельмязівська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Набутівська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Звенигородський район","","Селищенська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Звенигородський район","","Звенигородська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Звенигородський район","","Стеблівська селищна громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Руськополянська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Червонослобідська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Березняківська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Мошнівська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Степанківська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Леськівська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Сагунівська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Золотоніська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Шрамківська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Іркліївська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Зорівська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Вознесенська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Піщанська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Черкаський район","","Чигиринська міська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Драбівська селищна громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Золотоніський район","","Великохутірська сільська громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Уманський район","","Маньківська селищна громада","","","","","","","","Europe/Simferopol","+03.00"
"UA","Україна","Ukraine","Черкаська область","Cherkasy Oblast","Звенигородський район","","Шполянська міська громада","","","","","","","","Europe/Simferopol","+03.00"
