"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adjumani Tc","","Biyaya","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adjumani Tc","","Central","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adjumani Tc","","Cesia","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adropi","","Esia","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adropi","","Jihwa","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adropi","","Lajopi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adropi","","Marindi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adropi","","Omi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Adropi","","Openzinzi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ciforo","","Gulinya","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ciforo","","Kiraba","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ciforo","","Loa","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ciforo","","Maaji","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ciforo","","Mugi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ciforo","","Okangali","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ciforo","","Opejo","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Dzaipi","","Ajugopi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Dzaipi","","Arinyapi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Dzaipi","","Elegu","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Dzaipi","","Liri","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Dzaipi","","Logoangwa","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Dzaipi","","Mgbwere","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Dzaipi","","Miniki","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ofua","","Bacere","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ofua","","Itirikwa","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ofua","","Odu","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ofua","","Subbe","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ofua","","Tianyu","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Ofua","","Zoka","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Pakelle","","Ataboo Central","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Pakelle","","Boroli","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Pakelle","","Fuda","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Pakelle","","Lewa","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Pakelle","","Meliaderi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Pakelle","","Pereci","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Adjumani","","East Moyo","","Pakelle","","Zoka Fr","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Aboke","","Akwiridid","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Aboke","","Apach","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Aboke","","Apuru","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Aboke","","Ogwangacuma","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Aboke","","Opeta","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Akalo","","Abeli","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Akalo","","Adyang","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Akalo","","Adyeda","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Akalo","","Bar-Akalo","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Alito","","Adelogo","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Alito","","Alito","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Alito","","Apala","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Alito","","Ayala","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Alito","","Ayara","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Alito","","Okwerodot","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Alito","","Otkwac","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Ayer","","Abur","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Ayer","","Alemi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Ayer","","Ayer","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Ayer","","Ilera","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Ayer","","Okwor","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Ayer","","Telela","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Balla","","Agege I","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Balla","","Aumi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Balla","","Bala","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Balla","","Omolo-Adyang","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Balla","","Omuge","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kole","","Balla","","Omwara","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kwania","","Abongomola","","Abany","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kwania","","Abongomola","","Abwong","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kwania","","Abongomola","","Acungi","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kwania","","Abongomola","","Akali","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kwania","","Abongomola","","Amorigoga","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kwania","","Aduku","","Aboko","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kwania","","Aduku","","Adyeda","","","","","Africa/Kampala","+03.00"
"UG","Uganda","Uganda","","Apac","","Kwania","","Aduku","","Alira","","","","","Africa/Kampala","+03.00"
