"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"US","United States","United States","Alabama","Alabama","Autauga","Autauga","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Baldwin","Baldwin","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Barbour","Barbour","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Bibb","Bibb","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Blount","Blount","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Bullock","Bullock","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Butler","Butler","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Calhoun","Calhoun","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Chambers","Chambers","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Cherokee","Cherokee","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Chilton","Chilton","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Choctaw","Choctaw","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Clarke","Clarke","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Clay","Clay","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Cleburne","Cleburne","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Coffee","Coffee","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Colbert","Colbert","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Conecuh","Conecuh","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Coosa","Coosa","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Covington","Covington","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Crenshaw","Crenshaw","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Cullman","Cullman","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Dale","Dale","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Dallas","Dallas","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","DeKalb","DeKalb","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Elmore","Elmore","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Escambia","Escambia","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Etowah","Etowah","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Fayette","Fayette","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Franklin","Franklin","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Geneva","Geneva","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Greene","Greene","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Hale","Hale","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Henry","Henry","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Houston","Houston","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Jackson","Jackson","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Jefferson","Jefferson","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Lamar","Lamar","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Lauderdale","Lauderdale","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Lawrence","Lawrence","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Lee","Lee","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Limestone","Limestone","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Lowndes","Lowndes","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Macon","Macon","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Madison","Madison","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Marengo","Marengo","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Marion","Marion","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Marshall","Marshall","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Mobile","Mobile","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Monroe","Monroe","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Montgomery","Montgomery","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Morgan","Morgan","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Perry","Perry","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Pickens","Pickens","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Pike","Pike","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Randolph","Randolph","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Russell","Russell","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","SaintClair","SaintClair","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Shelby","Shelby","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Sumter","Sumter","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Talladega","Talladega","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Tallapoosa","Tallapoosa","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Tuscaloosa","Tuscaloosa","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Walker","Walker","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Washington","Washington","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Wilcox","Wilcox","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alabama","Alabama","Winston","Winston","","","","","","","","","America/Chicago","-05.00"
"US","United States","United States","Alaska","Alaska","AleutiansEast","AleutiansEast","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","AleutiansWest","AleutiansWest","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Anchorage","Anchorage","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Bethel","Bethel","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","BristolBay","BristolBay","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Denali","Denali","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Dillingham","Dillingham","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","FairbanksNorthStar","FairbanksNorthStar","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Haines","Haines","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Juneau","Juneau","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","KenaiPeninsula","KenaiPeninsula","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","KetchikanGateway","KetchikanGateway","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","KodiakIsland","KodiakIsland","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","LakeandPeninsula","LakeandPeninsula","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Matanuska-Susitna","Matanuska-Susitna","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Nome","Nome","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","NorthSlope","NorthSlope","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","NorthwestArctic","NorthwestArctic","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","PrinceofWales-OuterKetchi","PrinceofWales-OuterKetchi","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Sitka","Sitka","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Skagway-Yakutat-Angoon","Skagway-Yakutat-Angoon","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","SoutheastFairbanks","SoutheastFairbanks","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Valdez-Cordova","Valdez-Cordova","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","WadeHampton","WadeHampton","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Wrangell-Petersburg","Wrangell-Petersburg","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Alaska","Alaska","Yukon-Koyukuk","Yukon-Koyukuk","","","","","","","","","America/Anchorage","-08.00"
"US","United States","United States","Arizona","Arizona","Apache","Apache","","","","","","","","","America/Phoenix","-07.00"
"US","United States","United States","Arizona","Arizona","Cochise","Cochise","","","","","","","","","America/Phoenix","-07.00"
"US","United States","United States","Arizona","Arizona","Coconino","Coconino","","","","","","","","","America/Phoenix","-07.00"
"US","United States","United States","Arizona","Arizona","Gila","Gila","","","","","","","","","America/Phoenix","-07.00"
"US","United States","United States","Arizona","Arizona","Graham","Graham","","","","","","","","","America/Phoenix","-07.00"
"US","United States","United States","Arizona","Arizona","Greenlee","Greenlee","","","","","","","","","America/Phoenix","-07.00"
"US","United States","United States","Arizona","Arizona","LaPaz","LaPaz","","","","","","","","","America/Phoenix","-07.00"
