"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","BALTASAR BRUM","BALTASAR BRUM","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","BELLA UNION","BELLA UNION","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","BERNABE RIVERA","BERNABE RIVERA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CAINSA","CAINSA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CAINZA CAMPO 3","CAINZA CAMPO 3","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CALNU","CALNU","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CAMAÑO","CAMAÑO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CATALAN GRANDE","CATALAN GRANDE","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CATALAN VOLCAN","CATALAN VOLCAN","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CERRITO","CERRITO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CERRO EJIDO","CERRO EJIDO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CERRO SAN EUGENIO","CERRO SAN EUGENIO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CERRO SIGNORELLI","CERRO SIGNORELLI","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CHIFLERO","CHIFLERO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","COLONIA ESPAÑA","COLONIA ESPAÑA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","COLONIA ESTRELLA","COLONIA ESTRELLA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","COLONIA JOSE ARTIGAS","COLONIA JOSE ARTIGAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","COLONIA PALMA","COLONIA PALMA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","COLONIA PINTADO","COLONIA PINTADO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","COLONIA VIÑAR","COLONIA VIÑAR","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CORONADO","CORONADO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CUAREIM","CUAREIM","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","CUARO","CUARO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","DIEGO LAMAS","DIEGO LAMAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","ESTIBA","ESTIBA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","FAGUNDEZ","FAGUNDEZ","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","FRANQUIA","FRANQUIA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","GUYUBIRA","GUYUBIRA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","JAVIER DE VIANA","JAVIER DE VIANA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","LA BOLSA","LA BOLSA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","LAS PIEDRAS","LAS PIEDRAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","LENGUAZO","LENGUAZO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","LIMITE CONTESTADO","LIMITE CONTESTADO","LIMITE CONTESTADO","LIMITE CONTESTADO","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","LIMITE CONTESTADO","LIMITE CONTESTADO","MASOLLER","MASOLLER","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","MENESES","MENESES","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","MONES QUINTELA","MONES QUINTELA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PAGUERO","PAGUERO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PALMA SOLA","PALMA SOLA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PAREDON","PAREDON","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PASO CAMPAMENTO","PASO CAMPAMENTO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PASO DE LA CRUZ","PASO DE LA CRUZ","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PASO DE LEON","PASO DE LEON","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PASO DE RAMOS","PASO DE RAMOS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PASO FARIAS","PASO FARIAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PATITAS","PATITAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PIEDRA PINTADA","PIEDRA PINTADA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PINTADITO","PINTADITO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PINTADO","PINTADO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PINTADO GRANDE","PINTADO GRANDE","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","PORT. DE HIERRO Y CAMPODONICO","PORT. DE HIERRO Y CAMPODONICO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","RINCON DE PACHECO","RINCON DE PACHECO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","SARANDI DE CUARO","SARANDI DE CUARO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","SARANDI DE YACUY","SARANDI DE YACUY","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","SEQUEIRA","SEQUEIRA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","TAMANDUA","TAMANDUA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","TARUMAN","TARUMAN","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","TOMAS GOMENSORO","TOMAS GOMENSORO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","TOPADOR","TOPADOR","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","ARTIGAS","ARTIGAS","ZANJA ARUERA","ZANJA ARUERA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","AEROPUERTO INTERNACIONAL DE CARRASCO","AEROPUERTO INTERNACIONAL DE CARRASCO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","AGUAS CORRIENTES","AGUAS CORRIENTES","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","ALTOS DE LA TAHONA","ALTOS DE LA TAHONA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","ARAMINDA","ARAMINDA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","ARENAL","ARENAL","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","ARGENTINO","ARGENTINO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","ATLANTIDA","ATLANTIDA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","B.H.U.","B.H.U.","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRA DE CARRASCO","BARRA DE CARRASCO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRA DE LA PEDRERA","BARRA DE LA PEDRERA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRA DEL TALA","BARRA DEL TALA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRANCAS COLORADAS","BARRANCAS COLORADAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO ARTIGAS","BARRIO ARTIGAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO BENZO","BARRIO BENZO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO COPOLA","BARRIO COPOLA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO DEL LIBERTADOR","BARRIO DEL LIBERTADOR","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO LA LUCHA","BARRIO LA LUCHA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO LOS PANORAMAS","BARRIO LOS PANORAMAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO MONTERREY","BARRIO MONTERREY","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO OBRERO","BARRIO OBRERO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO PRETTI","BARRIO PRETTI","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO REMANSO","BARRIO REMANSO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO SAN CRISTOBAL","BARRIO SAN CRISTOBAL","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO SANTA RITA","BARRIO SANTA RITA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO TRAVERSO","BARRIO TRAVERSO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARRIO VILLA MURCIA","BARRIO VILLA MURCIA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BARROS BLANCOS","BARROS BLANCOS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BELLO HORIZONTE","BELLO HORIZONTE","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BIARRITZ","BIARRITZ","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BLANCO","BLANCO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","BOLIVAR","BOLIVAR","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","CAMINO DE LA CADENA","CAMINO DE LA CADENA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","CAMINO DODERA","CAMINO DODERA","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","CAMINO LLOVERAS","CAMINO LLOVERAS","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","CAMPO MILITAR","CAMPO MILITAR","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","CANELON CHICO","CANELON CHICO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","CANELON CHICO AL CENTRO","CANELON CHICO AL CENTRO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","CANELON CHICO DE PROGRESO","CANELON CHICO DE PROGRESO","","","","","","","","","America/Montevideo","-03.00"
"UY","Uruguay","Uruguay","CANELONES","CANELONES","CANELON GRANDE","CANELON GRANDE","","","","","","","","","America/Montevideo","-03.00"
