"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Surxandaryo","Surkhandarya","Termiz","Termez","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Navoiy","Navoi","Nurota","Nurata","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Navoiy","Navoi","Navoiy sh.","Navoi city","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Jondor","Jondor","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Buxoro","Bukhara","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Olot","Alat","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Qorako'l","Karakul","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Qashqadaryo","Kashkadarya","Kasbi","Kasbi","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Qashqadaryo","Kashkadarya","Mirishkor","Mirishkar","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Qashqadaryo","Kashkadarya","Nishon","Nishan","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Qashqadaryo","Kashkadarya","Muborak","Mubarek","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Qorovulbozor","Karaulbazar","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Samarqand","Samarkand","Nurobod","Nurabad","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Shofirkon","Shafirkan","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Romitan","Rаmitan","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Peshku","Peshku","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Kogon","Kagan","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Navoiy","Navoi","Qiziltepa","Kiziltepa","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Kogon sh.","Kagan city","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Buxoro sh.","Bukhara city","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Samarqand","Samarkand","Paxtachi","Pakhtachi","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","G'ijduvon","Gijduvan","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Buxoro","Bukhara","Vobkent","Vabkent","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Navoiy","Navoi","Karmana","Karmana","","","","","","","","","Asia/Taskent","+05.00"
"UZ","O'zbekiston Respublikasi","Republic of Uzbekistan","Navoiy","Navoi","Navbahor","Navbakhor","","","","","","","","","Asia/Taskent","+05.00"
