"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"VE","Venezuela","Venezuela","Amazonas","Amazonas","Maroa","Maroa","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Amazonas","Amazonas","Puerto Ayacucho","Puerto Ayacucho","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Amazonas","Amazonas","Puerto Páez","Puerto Páez","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Amazonas","Amazonas","San Carlos de Río Negro","San Carlos de Río Negro","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Amazonas","Amazonas","San Fernando de Atabapo","San Fernando de Atabapo","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Amazonas","Amazonas","San Juan de Manapiares","San Juan de Manapiares","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Amazonas","Amazonas","San Simón de Cocuy","San Simón de Cocuy","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Amazonas","Amazonas","Santa Rosa de Amanadona","Santa Rosa de Amanadona","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Anaco","Anaco","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Aragua de Barcelona","Aragua de Barcelona","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Barcelona","Barcelona","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Bergantin","Bergantin","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Boca de Uchire","Boca de Uchire","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Cachipo","Cachipo","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Caigua","Caigua","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Cantaura","Cantaura","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Clarines","Clarines","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","El Hatillo","El Hatillo","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","El Pao","El Pao","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","El Tigre","El Tigre","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Guanape","Guanape","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Guanta","Guanta","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Guaribe de Cajigal","Guaribe de Cajigal","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","La Margarita","La Margarita","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Lecherias","Lecherias","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Los Altos de Santa Fe","Los Altos de Santa Fe","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Los Pilones","Los Pilones","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Mapire","Mapire","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Modulo de Boyacá","Modulo de Boyacá","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Modulo de Chuparin","Modulo de Chuparin","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Mundo Nuevo","Mundo Nuevo","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Naricual","Naricual","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Onoto","Onoto","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Pariaguan","Pariaguan","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Piritu","Piritu","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Puerto La Cruz","Puerto La Cruz","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Puerto Piritu","Puerto Piritu","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Sabana de Uchire","Sabana de Uchire","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","San Diego de Cabrutica","San Diego de Cabrutica","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","San Joaquín","San Joaquín","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","San José de Guanipa","San José de Guanipa","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","San Mateo","San Mateo","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","San Miguel","San Miguel","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","San Pablo","San Pablo","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","San Tomé","San Tomé","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Santa Ana","Santa Ana","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Santa Clara","Santa Clara","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Santa Inés","Santa Inés","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Santa Rosa","Santa Rosa","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Soledad","Soledad","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Valle Guanape","Valle Guanape","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Anzoategui","Anzoategui","Zuata","Zuata","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Achaguas","Achaguas","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Apurito","Apurito","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Arichuna","Arichuna","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Biruaca","Biruaca","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Bruzual","Bruzual","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Camaguán","Camaguán","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Cazorla","Cazorla","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Cunaviche","Cunaviche","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","El Samán","El Samán","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","El Yagual","El Yagual","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Elorza","Elorza","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Guasimal","Guasimal","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Guayabal","Guayabal","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Guáchara","Guáchara","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","La Trinidad de Prichuna","La Trinidad de Prichuna","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Mantecal","Mantecal","","","","","","","","","America/Caracas","-04.00"
"VE","Venezuela","Venezuela","Apure","Apure","Municipio Quintero","Municipio Quintero","","","","","","","","","America/Caracas","-04.00"
