"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Hoàn Kiếm","Hoan Kiem","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Cửa Nam","Cua Nam","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Ba Đình","Ba Dinh","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Ngọc Hà","Ngoc Ha","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Giảng Võ","Giang Vo","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Hai Bà Trưng","Hai Ba Trung","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Vĩnh Tuy","Vinh Tuy","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Bạch Mai","Bach Mai","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Đống Đa","Dong Da","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Kim Liên","Kim Lien","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Văn Miếu - Quốc Tử Giám","Van Mieu - Quoc Tu Giam","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Láng","Lang","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Ô Chợ Dừa","O Cho Dua","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Hồng Hà","Hong Ha","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Lĩnh Nam","Linh Nam","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Hoàng Mai","Hoang Mai","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Vĩnh Hưng","Vinh Hung","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Tương Mai","Tuong Mai","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Định Công","Dinh Cong","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Hoàng Liệt","Hoang Liet","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Yên Sở","Yen So","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Thanh Xuân","Thanh Xuan","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Khương Đình","Khuong Dinh","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Phương Liệt","Phuong Liet","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Cầu Giấy","Cau Giay","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Nghĩa Đô","Nghia Do","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Yên Hoà","Yen Hoa","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Tây Hồ","Tay Ho","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Phú Thượng","Phu Thuong","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Tây Tựu","Tay Tuu","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Phú Diễn","Phu Dien","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Xuân Đỉnh","Xuan Dinh","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Đông Ngạc","Dong Ngac","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Thượng Cát","Thuong Cat","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Từ Liêm","Tu Liem","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Xuân Phương","Xuan Phuong","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
"VN","Việt Nam","Vietnam","Hà Nội","Ha Noi","Tây Mỗ","Tay Mo","","","","","","","","","Asia/Ho_Chi_Minh","+07.00"
