"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"ZA","","South Africa","","Northern Cape","","ZF Mgcawu District Municipality","","Mier Local Municipality","","San Heritage Land","","Mier Ward 4","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Northern Cape","","ZF Mgcawu District Municipality","","Mier Local Municipality","","Mier Heritage Land","","Mier Ward 4","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 41","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 42","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 43","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 44","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 45","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 46","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 47","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 48","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 49","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 5","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 50","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 51","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 52","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 53","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 54","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 55","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 56","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 57","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 58","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 59","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 6","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 60","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 61","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 62","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 63","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 64","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 65","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 66","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 67","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 68","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 69","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 7","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 70","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 71","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 72","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 73","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 74","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 75","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 76","","","Africa/Johannesburg","+02.00"
"ZA","","South Africa","","Western Cape","","City of Cape Town","","","","","","Cape Town Ward 77","","","Africa/Johannesburg","+02.00"
