"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","22618","22618","","أبوظبي","Abu Dhabi","","أبوظبي","Abu Dhabi","جزيرة الجبيل","Al Jubail Island","","","","",24.5449374,54.478034," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","72307","72307","","رأس الخيمة","Ras Al Khaimah","","رأس الخيمة شمال","North Ras Al Khaimah","شمل","Shamal","","","","",25.8318678,56.0231288," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","20931","20931","","أبوظبي","Abu Dhabi","","أبوظبي","Abu Dhabi","السوت","Al Sout","","","","",23.5852668,54.5565492," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","72336","72336","","رأس الخيمة","Ras Al Khaimah","","رأس الخيمة شمال","North Ras Al Khaimah","شمل","Shamal","","","","",25.8081727,56.021616," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","22500","22500","","أبوظبي","Abu Dhabi","","أبوظبي","Abu Dhabi","المُنتَزه","Al Muntazah","","","","",24.4250712,54.4569027," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","30049","30049","","أبوظبي","Abu Dhabi","","العين","Al Ain","المويجعي","Al Muwaij'i","","","","",24.2036465,55.7111418," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","77624","77624","","رأس الخيمة","Ras Al Khaimah","","رأس الخيمة شمال","North Ras Al Khaimah","أذن","Adhan","","","","",25.4493329,55.9948811," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","33337","33337","","أبوظبي","Abu Dhabi","","العين","Al Ain","الجيمي","Al Jimi","","","","",24.2649571,55.7380261," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","71117","71117","","رأس الخيمة","Ras Al Khaimah","","رأس الخيمة شمال","North Ras Al Khaimah","وادي شعم","Wadi Sham","","","","",26.0285969,56.1159574," UAE Standard Time","UTC+4"
"AE","ARE","United Arab Emirates","الإمارات العربية المتحدة ","AS","Asia","24219","24219","","أبوظبي","Abu Dhabi","","أبوظبي","Abu Dhabi","مدينة الرياض","Madinat Al Riyad","","","","",24.3122258,54.6934156," UAE Standard Time","UTC+4"
