"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"AR","ARG","Argentina","Argentina","SA","South America","B1557","B1557","","BuenosAires","BuenosAires","AR-B","LaMatanza","LaMatanza","","","","","","",-34.752098,-58.575275,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1602","B1602","","BuenosAires","BuenosAires","AR-B","VicenteLópez","VicenteLópez","","","","","","",-34.535841,-58.478264,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1603","B1603","","BuenosAires","BuenosAires","AR-B","VicenteLópez","VicenteLópez","","","","","","",-34.548997,-58.517158,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1604","B1604","","BuenosAires","BuenosAires","AR-B","VicenteLópez","VicenteLópez","","","","","","",-34.543376,-58.521608,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1605","B1605","","BuenosAires","BuenosAires","AR-B","VicenteLópez","VicenteLópez","","","","","","",-34.523537,-58.521126,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1606","B1606","","BuenosAires","BuenosAires","AR-B","VicenteLópez","VicenteLópez","","","","","","",-34.530862,-58.536567,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1607","B1607","","BuenosAires","BuenosAires","AR-B","SanIsidro","SanIsidro","","","","","","",-34.514296,-58.542132,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1608","B1608","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.45325,-58.596931,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1609","B1609","","BuenosAires","BuenosAires","AR-B","SanIsidro","SanIsidro","","","","","","",-34.517499,-58.568636,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1610","B1610","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.460127,-58.685626,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1611","B1611","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.495749,-58.607487,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1612","B1612","","BuenosAires","BuenosAires","AR-B","GeneralSarmiento","GeneralSarmiento","","","","","","",-34.50305,-58.666693,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1613","B1613","","BuenosAires","BuenosAires","AR-B","GeneralSarmiento","GeneralSarmiento","","","","","","",-34.507725,-58.717752,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1614","B1614","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.48676,-58.666415,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1615","B1615","","BuenosAires","BuenosAires","AR-B","GeneralSarmiento","GeneralSarmiento","","","","","","",-34.494941,-58.745625,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1616","B1616","","BuenosAires","BuenosAires","AR-B","GeneralSarmiento","GeneralSarmiento","","","","","","",-34.485154,-58.710051,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1617","B1617","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.457751,-58.652109,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1618","B1618","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.421426,-58.70601,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1621","B1621","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.453146,-58.638284,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1622","B1622","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.424597,-58.701887,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1624","B1624","","BuenosAires","BuenosAires","AR-B","Tigre","Tigre","","","","","","",-34.396526,-58.64113,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1629","B1629","","BuenosAires","BuenosAires","AR-B","Pilar","Pilar","","","","","","",-34.474308,-58.909011,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1630","B1630","","BuenosAires","BuenosAires","AR-B","Pilar","Pilar","","","","","","",-34.436186,-58.90471,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1631","B1631","","BuenosAires","BuenosAires","AR-B","Pilar","Pilar","","","","","","",-34.413928,-58.871436,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1633","B1633","","BuenosAires","BuenosAires","AR-B","Pilar","Pilar","","","","","","",-34.449295,-58.913704,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1634","B1634","","BuenosAires","BuenosAires","AR-B","Pilar","Pilar","","","","","","",-34.485012,-58.833572,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1635","B1635","","BuenosAires","BuenosAires","AR-B","Pilar","Pilar","","","","","","",-34.420958,-58.871276,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1636","B1636","","BuenosAires","BuenosAires","AR-B","VicenteLópez","VicenteLópez","","","","","","",-34.514156,-58.484174,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1637","B1637","","BuenosAires","BuenosAires","AR-B","SanIsidro","SanIsidro","","","","","","",-34.500189,-58.493956,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1638","B1638","","BuenosAires","BuenosAires","AR-B","VicenteLópez","VicenteLópez","","","","","","",-34.527938,-58.47167,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1640","B1640","","BuenosAires","BuenosAires","AR-B","SanIsidro","SanIsidro","","","","","","",-34.507285,-58.533505,"America/Argentina/Buenos_Aires","UTC-03:00"
"AR","ARG","Argentina","Argentina","SA","South America","B1641","B1641","","BuenosAires","BuenosAires","AR-B","SanIsidro","SanIsidro","","","","","","",-34.475889,-58.497645,"America/Argentina/Buenos_Aires","UTC-03:00"
