"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"AT","AUT","Austria","Österreich","EU","Europe","7000","7000","","Burgenland","Burgenland","AT-1","Eisenstadt Stadt","Eisenstadt Stadt","Eisenstadt","Eisenstadt","Eisenstadt","Eisenstadt","","",47.8457,16.5233,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7000","7000","","Burgenland","Burgenland","AT-1","Eisenstadt Stadt","Eisenstadt Stadt","Eisenstadt","Eisenstadt","Kleinhöflein im Burgenland","Kleinhöflein im Burgenland","","",47.8415,16.5041,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7000","7000","","Burgenland","Burgenland","AT-1","Eisenstadt Stadt","Eisenstadt Stadt","Eisenstadt","Eisenstadt","Sankt Georgen am Leithagebirge","Sankt Georgen am Leithagebirge","","",47.85,16.55,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7071","7071","","Burgenland","Burgenland","AT-1","Rust Stadt","Rust Stadt","Rust","Rust","Rust","Rust","","",47.8012,16.6716,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","2443","2443","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Leithaprodersdorf","Leithaprodersdorf","Leithaprodersdorf","Leithaprodersdorf","","",47.9335,16.4791,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","2443","2443","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Stotzing","Stotzing","Stotzing","Stotzing","","",47.9,16.55,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","2443","2443","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Loretto","Loretto","Loretto","Loretto","","",47.9156,16.5179,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","2485","2485","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Wimpassing an der Leitha","Wimpassing an der Leitha","Wimpassing an der Leitha","Wimpassing an der Leitha","","",47.9167,16.4333,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","2491","2491","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Neufeld an der Leitha","Neufeld an der Leitha","Neufeld an der Leitha","Neufeld an der Leitha","","",47.8656,16.3786,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","2491","2491","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Steinbrunn","Steinbrunn","Steinbrunn / Štikapron","Steinbrunn / Štikapron","","",47.8333,16.4167,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","2491","2491","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Hornstein","Hornstein","Hornstein / Vorištan","Hornstein / Vorištan","","",47.8805,16.4445,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7011","7011","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Siegendorf","Siegendorf","Siegendorf / Cindrof","Siegendorf / Cindrof","","",47.781,16.5423,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7012","7012","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Zagersdorf","Zagersdorf","Zagersdorf / Cogrštof","Zagersdorf / Cogrštof","","",47.7647,16.5138,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7013","7013","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Klingenbach","Klingenbach","Klingenbach / Klimpuh","Klingenbach / Klimpuh","","",47.7728,16.5281,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7033","7033","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Zillingtal","Zillingtal","Zillingtal / Celindof","Zillingtal / Celindof","","",47.7997,16.3994,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7034","7034","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Zillingtal","Zillingtal","Zillingtal / Celindof","Zillingtal / Celindof","","",47.7997,16.3994,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7035","7035","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Zillingtal","Zillingtal","Zillingtal / Celindof","Zillingtal / Celindof","","",47.7997,16.3994,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7035","7035","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Steinbrunn","Steinbrunn","Steinbrunn / Štikapron","Steinbrunn / Štikapron","","",47.8333,16.4167,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7041","7041","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Wulkaprodersdorf","Wulkaprodersdorf","Wulkaprodersdorf / Vulkaprodrštof","Wulkaprodersdorf / Vulkaprodrštof","","",47.7975,16.5045,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7051","7051","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Großhöflein","Großhöflein","Großhöflein","Großhöflein","","",47.8359,16.4804,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7052","7052","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Müllendorf","Müllendorf","Müllendorf","Müllendorf","","",47.8394,16.4626,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7053","7053","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Hornstein","Hornstein","Hornstein / Vorištan","Hornstein / Vorištan","","",47.8805,16.4445,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7061","7061","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Trausdorf an der Wulka","Trausdorf an der Wulka","Trausdorf an der Wulka / Trajštof","Trausdorf an der Wulka / Trajštof","","",47.8219,16.6317,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7062","7062","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Sankt Margarethen im Burgenland","Sankt Margarethen im Burgenland","Sankt Margarethen im Burgenland","Sankt Margarethen im Burgenland","","",47.8034,16.6088,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7063","7063","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Oggau am Neusiedler See","Oggau am Neusiedler See","Oggau am Neusiedler See","Oggau am Neusiedler See","","",47.8333,16.6667,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7064","7064","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Oslip","Oslip","Oslip / Uzlop","Oslip / Uzlop","","",47.8291,16.6196,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7072","7072","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Mörbisch am See","Mörbisch am See","Mörbisch am See","Mörbisch am See","","",47.75,16.6667,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7081","7081","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Schützen am Gebirge","Schützen am Gebirge","Schützen am Gebirge","Schützen am Gebirge","","",47.8523,16.6233,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7082","7082","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Donnerskirchen","Donnerskirchen","Donnerskirchen","Donnerskirchen","","",47.8942,16.6463,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7083","7083","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Purbach am Neusiedler See","Purbach am Neusiedler See","Purbach am Neusiedler See","Purbach am Neusiedler See","","",47.9129,16.6956,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7091","7091","","Burgenland","Burgenland","AT-1","Eisenstadt-Umgebung","Eisenstadt-Umgebung","Breitenbrunn am Neusiedler See","Breitenbrunn am Neusiedler See","Breitenbrunn","Breitenbrunn","","",47.9445,16.7315,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7521","7521","","Burgenland","Burgenland","AT-1","Güssing","Güssing","Eberau","Eberau","Eberau","Eberau","","",47.1076,16.4604,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7521","7521","","Burgenland","Burgenland","AT-1","Güssing","Güssing","Bildein","Bildein","Oberbildein","Oberbildein","","",47.1333,16.4667,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7521","7521","","Burgenland","Burgenland","AT-1","Güssing","Güssing","Bildein","Bildein","Unterbildein","Unterbildein","","",47.1284,16.4679,"Europe/Vienna","UTC+02:00"
"AT","AUT","Austria","Österreich","EU","Europe","7521","7521","","Burgenland","Burgenland","AT-1","Güssing","Güssing","Eberau","Eberau","Winten","Winten","","",47.1171,16.4445,"Europe/Vienna","UTC+02:00"
