"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"AU","AUS","Australia","Australia","OC","Oceania","0200","0200","","Australian Capital Territory","Australian Capital Territory","AU-ACT","","","Anu","Anu","","","","",-35.2777,149.119,"Australia – Eastern Standard Time","UTC+10:00"
"AU","AUS","Australia","Australia","OC","Oceania","0200","0200","","Australian Capital Territory","Australian Capital Territory","AU-ACT","","","Australian National University","Australian National University","","","","",-35.2777,149.1189,"Australia – Eastern Standard Time","UTC+10:00"
"AU","AUS","Australia","Australia","OC","Oceania","0800","0800","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Darwin","Darwin","","","","",-12.458684,130.83668,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0800","0800","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Darwin City","Darwin City","","","","",-12.458684,130.83668,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0801","0801","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Darwin","Darwin","","","","",-12.458684,130.83668,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0803","0803","","Northern Territory","Northern Territory","AU-NT","Northern Territory - Outback","Northern Territory - Outback","Wagait Beach","Wagait Beach","","","","",-12.43399126,130.7459083,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0804","0804","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Parap","Parap","","","","",-12.428017,130.873315,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0810","0810","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Alawa","Alawa","","","","",-12.381806,130.866242,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0810","0810","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Brinkin","Brinkin","","","","",-12.381806,130.866242,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0810","0810","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Casuarina","Casuarina","","","","",-12.381806,130.866242,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0810","0810","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Coconut Grove","Coconut Grove","","","","",-12.39614166,130.8502369,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0810","0810","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Jingili","Jingili","","","","",-12.381806,130.866242,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0810","0810","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Lee Point","Lee Point","","","","",-12.381806,130.866242,"Australia – Central Standard Time","UTC+09:30"
"AU","AUS","Australia","Australia","OC","Oceania","0810","0810","","Northern Territory","Northern Territory","AU-NT","Darwin","Darwin","Lyons","Lyons","","","","",-12.35911956,130.8885151,"Australia – Central Standard Time","UTC+09:30"
