"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","7800","7800","","","Dhaka Division","","","Faridpur","","Faridpursadar","","","","",23.55,89.7833,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","1742","1742","","","Dhaka Division","","","Gazipur","","Rajendrapur Canttome","","","","",24.43,90.5342,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","2338","2338","","","Dhaka Division","","","Kishoreganj","","Laksmipur","","","","",24.2162,90.95,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","2380","2380","","","Dhaka Division","","","Kishoreganj","","Ostagram","","","","",24.3491,90.9571,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","1544","1544","","","Dhaka Division","","","Munshiganj","","Shekher Nagar","","","","",23.5604,90.3444,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","1464","1464","","","Dhaka Division","","","Narayanganj","","Murapara","","","","",23.7871,90.5252,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","1604","1604","","","Dhaka Division","","","Narshingdi","","Madhabdi","","","","",23.999,90.6925,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","7700","7700","","","Dhaka Division","","","Rajbari","","Rajbari Sadar","","","","",23.7187,89.6105,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","8023","8023","","","Dhaka Division","","","Shariatpur","","Upshi","","","","",23.2709,90.453,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","1920","1920","","","Dhaka Division","","","Tangail","","Basail","","","","",24.2857,90.0003,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","1945","1945","","","Dhaka Division","","","Tangail","","Mohera","","","","",24.0977,90.1303,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","1981","1981","","","Dhaka Division","","","Tangail","","Zahidganj","","","","",24.2857,90.0003,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","7320","7320","","","Khulna Division","","","Jinaidaha","","Shailakupa","","","","",23.6098,89.3147,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","7350","7350","","","Khulna Division","","","Jinaidaha","","Naldanga","","","","",23.439,89.1684,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","9281","9281","","","Khulna Division","","","Khulna","","Godaipur","","","","",22.5829,89.2827,"Asia/Dhaka","UTC+6"
"BD","BGD","Bangladesh","বাংলাদেশ","AS","Asia","7611","7611","","","Khulna Division","","","Magura","","Langalbadh","","","","",23.3824,89.4612,"Asia/Dhaka","UTC+6"
