"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"BG","BGR","Bulgaria","България ","EU","Europe","8500","8500","","Бургас","Burgas","BG-02","Айтос","Ajtos","Айтос","Ajtos","","","","",42.7,27.25,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8517","8517","","Бургас","Burgas","BG-02","Айтос","Ajtos","Зетьово","Zet'ovo","","","","",42.75,27.2333,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8518","8518","","Бургас","Burgas","BG-02","Айтос","Ajtos","Лясково","Ljaskovo","","","","",42.7333,27.3,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8519","8519","","Бургас","Burgas","BG-02","Айтос","Ajtos","Малка поляна","Malka poljana","","","","",42.6333,27.2333,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8522","8522","","Бургас","Burgas","BG-02","Айтос","Ajtos","Съдиево","Sudievo","","","","",42.6667,27.3167,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8523","8523","","Бургас","Burgas","BG-02","Айтос","Ajtos","Мъглен","Muglen","","","","",42.7333,27.3667,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8524","8524","","Бургас","Burgas","BG-02","Айтос","Ajtos","Дрянковец","Drjankovec","","","","",42.6833,27.3667,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8525","8525","","Бургас","Burgas","BG-02","Айтос","Ajtos","Пещерско","Peshhersko","","","","",42.75,27.3333,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8527","8527","","Бургас","Burgas","BG-02","Айтос","Ajtos","Черна могила","Cherna mogila","","","","",42.75,27.4,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8528","8528","","Бургас","Burgas","BG-02","Айтос","Ajtos","Пирне","Pirne","","","","",42.6833,27.2,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8529","8529","","Бургас","Burgas","BG-02","Айтос","Ajtos","Чукарка","Chukarka","","","","",42.65,27.1167,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8532","8532","","Бургас","Burgas","BG-02","Айтос","Ajtos","Караново","Karanovo","","","","",42.65,27.2,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8543","8543","","Бургас","Burgas","BG-02","Айтос","Ajtos","Карагеоргиево","Karageorgievo","","","","",42.7333,27.1833,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8544","8544","","Бургас","Burgas","BG-02","Айтос","Ajtos","Поляново","Poljanovo","","","","",42.7167,27.1833,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8545","8545","","Бургас","Burgas","BG-02","Айтос","Ajtos","Черноград","Chernograd","","","","",42.7167,27.1,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8547","8547","","Бургас","Burgas","BG-02","Айтос","Ajtos","Раклиново","Raklinovo","","","","",42.7667,27.05,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8549","8549","","Бургас","Burgas","BG-02","Айтос","Ajtos","Тополица","Topolica","","","","",42.7333,27.1167,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8000","8000","","Бургас","Burgas","BG-02","Бургас","Burgas","Бургас","Burgas","","","","",42.5,27.4667,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8111","8111","","Бургас","Burgas","BG-02","Бургас","Burgas","Братово","Bratovo","","","","",42.5,27.3,"Europe/Sofia","UTC+2"
"BG","BGR","Bulgaria","България ","EU","Europe","8112","8112","","Бургас","Burgas","BG-02","Бургас","Burgas","Рудник","Rudnik","","","","",42.6167,27.4833,"Europe/Sofia","UTC+2"
