"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA1111","BA1111","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Berangan","","","","",4.8949117,114.9483851,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA1211","BA1211","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Kianggeh","","","","",4.8855188,114.9491924,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA1311","BA1311","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Tungkadeh","","","","",4.9054037,114.941142,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA1511","BA1511","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Kumbang Pasang","","","","",4.9017507,114.9313975,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA1779","BA1779","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Parit","","","","",4.8873875,114.9285077,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA1910","BA1910","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Parit","","","","",4.8906156,114.9346013,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA1912","BA1912","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Parit","","","","",4.8879477,114.9311291,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA2112","BA2112","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Tumasek","","","","",4.8806816,114.9222687,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA2313","BA2313","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Lingkungan Diplomatik","","","","",4.9194325,114.9559608,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BA2511","BA2511","","Brunei-Muara","Brunei Muara","BN-BM","","Kianggeh","","Kampung Melabau","","","","",4.9164661,114.9438388,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB1114","BB1114","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Skim Tanah Kurnia Rakyat Jati Lambak Kiri","","","","",4.9887293,114.9340357,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB1214","BB1214","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Kampung Lambak Kiri","","","","",4.9896683,114.9539948,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB1314","BB1314","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Kampung Lambak A","","","","",4.9548644,114.9445175,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB1414","BB1414","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Perkhemahan Berakas","","","","",5.0044336,114.9566716,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB1514","BB1514","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Kampung Terunjing","","","","",4.9634004,114.9311643,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB1714","BB1714","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Kampung Lambak B","","","","",4.9708767,114.9507634,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB2114","BB2114","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Kampung Terunjing","","","","",4.9665018,114.932353,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB2313","BB2313","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Kampung Serusop","","","","",4.9470165,114.9579953,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB2314","BB2314","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Kampung Serusop","","","","",4.9493351,114.9532227,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB2513","BB2513","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Lapangan Terbang Antarabangsa Brunei","","","","",4.9500361,114.9181942,"Asia/Brunei","UTC +8.0"
"BN","BRN","Brunei","Brunei Darussalam","AS","Asia","BB2713","BB2713","","Brunei-Muara","Brunei Muara","BN-BM","","Berakas A","","Kampung Jaya Setia","","","","",4.9368131,114.937592,"Asia/Brunei","UTC +8.0"
