"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"BR","BRA","Brazil","Brasil","SA","South America","69945-000","69945000","","Acre","Acre","BR-AC","","Acrelândia","","","","","","",-9.9805,-66.8439,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69935-000","69935000","","Acre","Acre","BR-AC","","Assis Brasil","","","","","","",-10.8833,-70.0131,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69932-000","69932000","","Acre","Acre","BR-AC","","Brasiléia","","","","","","",-10.7677,-69.0114,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69923-000","69923000","","Acre","Acre","BR-AC","","Bujari","","","","","","",-9.5786,-68.172,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69922-000","69922000","","Acre","Acre","BR-AC","","Capixaba","","","","","","",-10.4878,-67.8483,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69980-000","69980000","","Acre","Acre","BR-AC","","Cruzeiro do Sul","","","","","","",-8.0159,-72.9298,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69934-000","69934000","","Acre","Acre","BR-AC","","Epitaciolândia","","","","","","",-10.9354,-68.4441,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69960-000","69960000","","Acre","Acre","BR-AC","","Feijó","","","","","","",-8.905,-70.9149,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69975-000","69975000","","Acre","Acre","BR-AC","","Jordão","","","","","","",-9.0917,-71.8407,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69990-000","69990000","","Acre","Acre","BR-AC","","Mâncio Lima","","","","","","",-7.5396,-73.4583,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69950-000","69950000","","Acre","Acre","BR-AC","","Manoel Urbano","","","","","","",-9.4895,-70.0124,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69983-000","69983000","","Acre","Acre","BR-AC","","Marechal Thaumaturgo","","","","","","",-9.1899,-72.5685,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69928-000","69928000","","Acre","Acre","BR-AC","","Plácido de Castro","","","","","","",-10.2943,-67.2682,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69982-000","69982000","","Acre","Acre","BR-AC","","Porto Walter","","","","","","",-8.5247,-72.8207,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69900-000","69900000","","Acre","Acre","BR-AC","","Rio Branco","","","","","","",-10.0699,-68.1553,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69985-000","69985000","","Acre","Acre","BR-AC","","Rodrigues Alves","","","","","","",-7.8529,-73.2361,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69955-000","69955000","","Acre","Acre","BR-AC","","Santa Rosa do Purus","","","","","","",-9.4773,-70.3903,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69925-000","69925000","","Acre","Acre","BR-AC","","Senador Guiomard","","","","","","",-9.9408,-67.3931,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69940-000","69940000","","Acre","Acre","BR-AC","","Sena Madureira","","","","","","",-10.0357,-69.5497,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69970-000","69970000","","Acre","Acre","BR-AC","","Tarauacá","","","","","","",-8.6552,-71.4234,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69930-000","69930000","","Acre","Acre","BR-AC","","Xapuri","","","","","","",-10.5966,-68.6489,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","69921-000","69921000","","Acre","Acre","BR-AC","","Porto Acre","","","","","","",-9.6504,-67.7773,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57490-000","57490000","","Alagoas","Alagoas","BR-AL","","Água Branca","","","","","","",-9.2699,-37.9192,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57660-000","57660000","","Alagoas","Alagoas","BR-AL","","Anadia","","","","","","",-9.6749,-36.3379,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57300-000","57300000","","Alagoas","Alagoas","BR-AL","","Arapiraca","","","","","","",-9.7438,-36.5931,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57690-000","57690000","","Alagoas","Alagoas","BR-AL","","Atalaia","","","","","","",-9.5298,-36.0746,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57925-000","57925000","","Alagoas","Alagoas","BR-AL","","Barra de Santo Antônio","","","","","","",-9.3975,-35.5654,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57180-000","57180000","","Alagoas","Alagoas","BR-AL","","Barra de São Miguel","","","","","","",-9.8123,-35.9609,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57420-000","57420000","","Alagoas","Alagoas","BR-AL","","Batalha","","","","","","",-9.7326,-37.0888,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57630-000","57630000","","Alagoas","Alagoas","BR-AL","","Belém","","","","","","",-9.5442,-36.502,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57435-000","57435000","","Alagoas","Alagoas","BR-AL","","Belo Monte","","","","","","",-9.8052,-37.1916,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57680-000","57680000","","Alagoas","Alagoas","BR-AL","","Boca da Mata","","","","","","",-9.6465,-36.1413,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57830-000","57830000","","Alagoas","Alagoas","BR-AL","","Branquinha","","","","","","",-9.2117,-36.0896,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57570-000","57570000","","Alagoas","Alagoas","BR-AL","","Cacimbinhas","","","","","","",-9.449,-36.9047,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57770-000","57770000","","Alagoas","Alagoas","BR-AL","","Cajueiro","","","","","","",-9.3763,-36.1577,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57968-000","57968000","","Alagoas","Alagoas","BR-AL","","Campestre","","","","","","",-8.8939,-35.5324,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57250-000","57250000","","Alagoas","Alagoas","BR-AL","","Campo Alegre","","","","","","",-9.7933,-36.2857,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57350-000","57350000","","Alagoas","Alagoas","BR-AL","","Campo Grande","","","","","","",-9.95,-36.7559,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57530-000","57530000","","Alagoas","Alagoas","BR-AL","","Canapi","","","","","","",-9.1733,-37.5199,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57780-000","57780000","","Alagoas","Alagoas","BR-AL","","Capela","","","","","","",-9.3934,-36.1239,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57535-000","57535000","","Alagoas","Alagoas","BR-AL","","Carneiros","","","","","","",-9.4647,-37.3556,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57760-000","57760000","","Alagoas","Alagoas","BR-AL","","Chã Preta","","","","","","",-9.2292,-36.3305,"America/Noronha","UTC-2.0"
"BR","BRA","Brazil","Brasil","SA","South America","57325-000","57325000","","Alagoas","Alagoas","BR-AL","","Coité do Nóia","","","","","","",-9.6262,-36.6004,"America/Noronha","UTC-2.0"
