"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"BY","BLR","Belarus","Беларусь","EU","Europe","225110","225110","","","Brest","","","Jabinka","","","","","","",52.1904,23.9143,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225111","225111","","","Brest","","","Jabinka","","","","","","",52.1904,23.9143,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225112","225112","","","Brest","","","Jabinka","","","","","","",52.1904,23.9143,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225114","225114","","","Brest","","","Jabinka","","","","","","",52.1904,23.9143,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225115","225115","","","Brest","","","Jabinka","","","","","","",52.1531,24.0502,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225116","225116","","","Brest","","","Jabinka","","","","","","",52.1346,23.9871,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225117","225117","","","Brest","","","Jabinka","","","","","","",52.3164,23.9941,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225118","225118","","","Brest","","","Jabinka","","","","","","",52.1575,23.6258,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225119","225119","","","Brest","","","Jabinka","","","","","","",52.1904,23.9143,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225120","225120","","","Brest","","","Jabinka","","","","","","",52.5408,25.0748,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225121","225121","","","Brest","","","Jabinka","","","","","","",52.3261,24.2954,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225122","225122","","","Brest","","","Jabinka","","","","","","",52.3928,23.9875,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225123","225123","","","Brest","","","Jabinka","","","","","","",52.1822,24.7651,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225124","225124","","","Brest","","","Jabinka","","","","","","",52.2698,23.9954,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225125","225125","","","Brest","","","Jabinka","","","","","","",52.3191,24.043,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225127","225127","","","Brest","","","Jabinka","","","","","","",52.2516,23.9065,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225128","225128","","","Brest","","","Jabinka","","","","","","",52.3261,24.2954,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225502","225502","","","Brest","","","Stolin","","","","","","",51.9891,26.987,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225510","225510","","","Brest","","","Stolin","","","","","","",51.8911,26.846,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225511","225511","","","Brest","","","Stolin","","","","","","",51.8519,26.8929,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225512","225512","","","Brest","","","Stolin","","","","","","",51.9792,26.7167,"Europe/Minsk","UTC+3"
"BY","BLR","Belarus","Беларусь","EU","Europe","225513","225513","","","Brest","","","Stolin","","","","","","",52.0192,26.6146,"Europe/Minsk","UTC+3"
