"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A0","T0A0A0","","Alberta","Alberta","CA-AB","","Division No. 13","","Thorhild County","","","","",54.1958,-113.1506,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A1","T0A0A1","","Alberta","Alberta","CA-AB","","Division No. 12","","Saddle Lake 125","","","","",54.0029,-111.7,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A2","T0A0A2","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.3603,-110.0863,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A3","T0A0A3","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A4","T0A0A4","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A5","T0A0A5","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A6","T0A0A6","","Alberta","Alberta","CA-AB","","Division No. 13","","Thorhild County","","","","",54.1533,-113.1258,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A7","T0A0A7","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8258,-113.3266,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A8","T0A0A8","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0A9","T0A0A9","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8373,-113.4121,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B0","T0A0B0","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.523,-110.3485,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B1","T0A0B1","","Alberta","Alberta","CA-AB","","Division No. 12","","Waskatenau","","","","",54.0955,-112.7881,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B2","T0A0B2","","Alberta","Alberta","CA-AB","","Division No. 13","","Thorhild County","","","","",54.3261,-112.9387,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B3","T0A0B3","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B4","T0A0B4","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",55.2014,-112.4652,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B5","T0A0B5","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B6","T0A0B6","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",53.9186,-110.2674,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B7","T0A0B7","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B8","T0A0B8","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0B9","T0A0B9","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C0","T0A0C0","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.0534,-111.5265,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C1","T0A0C1","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.6701,-113.4919,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C2","T0A0C2","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",54.8192,-112.5503,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C3","T0A0C3","","Alberta","Alberta","CA-AB","","Division No. 13","","Boyle","","","","",54.5873,-112.8038,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C4","T0A0C4","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C5","T0A0C5","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C6","T0A0C6","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C7","T0A0C7","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C8","T0A0C8","","Alberta","Alberta","CA-AB","","Division No. 13","","Thorhild County","","","","",54.06,-112.945,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0C9","T0A0C9","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E0","T0A0E0","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",54.604,-112.8412,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E1","T0A0E1","","Alberta","Alberta","CA-AB","","Division No. 13","","Thorhild County","","","","",54.2355,-113.0254,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E2","T0A0E2","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.3319,-110.4828,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E3","T0A0E3","","Alberta","Alberta","CA-AB","","Division No. 12","","Unipouheos 121","","","","",53.8322,-110.4021,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E4","T0A0E4","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E5","T0A0E5","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3455,-111.6157,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E6","T0A0E6","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.9506,-113.1089,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E7","T0A0E7","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",54.8208,-112.675,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E8","T0A0E8","","Alberta","Alberta","CA-AB","","Division No. 12","","","","","","",53.9911,-111.2953,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0E9","T0A0E9","","Alberta","Alberta","CA-AB","","Division No. 12","","Lac la Biche County","","","","",54.7696,-111.9725,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0J0","T0A0J0","","Alberta","Alberta","CA-AB","","Division No. 12","","Smoky Lake County","","","","",54.1642,-112.2134,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0K0","T0A0K0","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.9385,-113.3568,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0K1","T0A0K1","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.7163,-113.5654,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0K2","T0A0K2","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.7163,-113.5654,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0K3","T0A0K3","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.7163,-113.5654,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0K4","T0A0K4","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8373,-113.4134,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0K5","T0A0K5","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.7841,-113.4959,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0M0","T0A0M0","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",54.746,-112.8003,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0N0","T0A0N0","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",54.3055,-111.722,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0P0","T0A0P0","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",55.1255,-112.5339,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0R0","T0A0R0","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",54.6099,-112.553,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0T0","T0A0T0","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.294,-110.017,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 0Z0","T0A0Z0","","Alberta","Alberta","CA-AB","","Division No. 13","","Thorhild County","","","","",54.0528,-113.0627,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1A0","T0A1A0","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",53.9225,-111.0585,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1B0","T0A1B0","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",54.502,-112.9026,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1C0","T0A1C0","","Alberta","Alberta","CA-AB","","Division No. 16","","Wood Buffalo","","","","",57.9153,-110.5543,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1E0","T0A1E0","","Alberta","Alberta","CA-AB","","Division No. 12","","St. Paul County No. 19","","","","",53.8766,-111.577,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1H0","T0A1H0","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.3573,-110.6801,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1M0","T0A1M0","","Alberta","Alberta","CA-AB","","Division No. 12","","Puskiakiwenin 122","","","","",53.9073,-110.4596,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1N0","T0A1N0","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.9642,-113.2361,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1N1","T0A1N1","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8276,-113.328,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1N2","T0A1N2","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8276,-113.328,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1N3","T0A1N3","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8276,-113.328,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1N4","T0A1N4","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8276,-113.328,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1N4","T0A1N4","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8276,-113.328,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1N5","T0A1N5","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8276,-113.328,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1N6","T0A1N6","","Alberta","Alberta","CA-AB","","Division No. 11","","","","","","",53.8276,-113.328,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1P0","T0A1P0","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.2295,-111.0282,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1R0","T0A1R0","","Alberta","Alberta","CA-AB","","Division No. 12","","White Fish Lake 128","","","","",54.2572,-111.7572,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1S0","T0A1S0","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.3619,-111.371,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1S1","T0A1S1","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.3833,-111.3667,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1V0","T0A1V0","","Alberta","Alberta","CA-AB","","Division No. 13","","Athabasca County","","","","",54.7961,-112.7728,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1X0","T0A1X0","","Alberta","Alberta","CA-AB","","Division No. 12","","Lac la Biche County","","","","",54.7712,-111.9546,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 1Z0","T0A1Z0","","Alberta","Alberta","CA-AB","","Division No. 12","","Lac la Biche County","","","","",54.6326,-112.3246,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 2A0","T0A2A0","","Alberta","Alberta","CA-AB","","Division No. 12","","Bonnyville No. 87","","","","",54.4298,-110.9003,"America/St_Johns","UTC-2.5"
"CA","CAN","Canada","Canada","NA","North America","T0A 2B0","T0A2B0","","Alberta","Alberta","CA-AB","","Division No. 12","","Smoky Lake County","","","","",54.4467,-112.0968,"America/St_Johns","UTC-2.5"
