"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"CL","CHL","Chile","Chile","SA","South America","2340000","2340000","Valparaíso","","Región de Valparaíso","","","Provincia de Valparaíso","","Valparaíso","","","","",-33.1298,-71.5735,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2480000","2480000","Casablanca","","Región de Valparaíso","","","Provincia de Valparaíso","","Casablanca","","","","",-33.3158,-71.4353,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2490000","2490000","Quintero","","Región de Valparaíso","","","Provincia de Valparaíso","","Quintero","","","","",-32.843,-71.4738,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2500000","2500000","Puchuncaví","","Región de Valparaíso","","","Provincia de Valparaíso","","Puchuncaví","","","","",-32.7176,-71.4111,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2510000","2510000","Concón","","Región de Valparaíso","","","Provincia de Valparaíso","","Concón","","","","",-32.9534,-71.4678,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2520000","2520000","Viña Del Mar","","Región de Valparaíso","","","Provincia de Valparaíso","","Viña Del Mar","","","","",-33.0288,-71.5159,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2600000","2600000","Juan Fernández","","Región de Valparaíso","","","Provincia de Valparaíso","","Juan Fernández","","","","",-33.6387,-78.8583,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2770000","2770000","Isla De Pascua","","Región de Valparaíso","","","Provincia de Isla de Pascua","","Isla De Pascua","","","","",-27.1288,-109.36,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2100000","2100000","Los Andes","","Región de Valparaíso","","","Provincia de Los Andes","","Los Andes","","","","",-32.9503,-70.2398,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2120000","2120000","San Esteban","","Región de Valparaíso","","","Provincia de Los Andes","","San Esteban","","","","",-32.6859,-70.3484,"America/Santiago","UTC-3.0"
"CL","CHL","Chile","Chile","SA","South America","2130000","2130000","Calle Larga","","Región de Valparaíso","","","Provincia de Los Andes","","Calle Larga","","","","",-32.9504,-70.545,"America/Santiago","UTC-3.0"
