"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"CO","COL","Colombia","Colombia","SA","South America","910001","910001","","Amazonas","Amazonas","CO-AMA","","Leticia","","","","","","",-4.2153,-69.9406,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","910007","910007","","Amazonas","Amazonas","CO-AMA","","Leticia","","","","","","",-4.2153,-69.9406,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","910008","910008","","Amazonas","Amazonas","CO-AMA","","Leticia","","","","","","",-4.2153,-69.9406,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","913010","913010","","Amazonas","Amazonas","CO-AMA","","El Encanto","","","","","","",-1.7477,-73.2083,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","913017","913017","","Amazonas","Amazonas","CO-AMA","","El Encanto","","","","","","",-1.7477,-73.2083,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","913018","913018","","Amazonas","Amazonas","CO-AMA","","El Encanto","","","","","","",-1.7477,-73.2083,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","913019","913019","","Amazonas","Amazonas","CO-AMA","","El Encanto","","","","","","",-1.7477,-73.2083,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","914050","914050","","Amazonas","Amazonas","CO-AMA","","La Chorrera","","","","","","",-0.7333,-73.0167,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","914057","914057","","Amazonas","Amazonas","CO-AMA","","La Chorrera","","","","","","",-0.7333,-73.0167,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","917010","917010","","Amazonas","Amazonas","CO-AMA","","La Pedrera","","","","","","",-1.3239,-69.5744,"America/Bogota","UTC -5.0"
"CO","COL","Colombia","Colombia","SA","South America","917017","917017","","Amazonas","Amazonas","CO-AMA","","La Pedrera","","","","","","",-1.3239,-69.5744,"America/Bogota","UTC -5.0"
