"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5280","5280","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5281","5281","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5282","5282","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5283","5283","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5284","5284","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5285","5285","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5286","5286","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5288","5288","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5289","5289","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5290","5290","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5291","5291","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5292","5292","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
"CY","CYP","Cyprus","Κύπρος","AS","Asia","5295","5295","","Αμμόχωστος","Famagusta","","Παραλίμνι","Paralimni","","","","","","",35.0395,33.9818,"Asia/Famagusta","UTC +2.0"
