"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"EC","ECU","Ecuador","Ecuador","SA","South America","200101","200101","","Galápagos","Galápagos","EC-W","","Cantón San Cristóbal","","Española Hood-Puerto Baquerizo Moreno","","","","",-1.1811,-90.1968,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","200104","200104","","Galápagos","Galápagos","EC-W","","Cantón San Cristóbal","","El Progreso","","","","",-0.8258,-89.4288,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","200103","200103","","Galápagos","Galápagos","EC-W","","Cantón Isabela","","Puerto Villamil","","","","",-0.9554,-90.9665,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","200107","200107","","Galápagos","Galápagos","EC-W","","Cantón Isabela","","Isla Fernandina Narborough","","","","",-0.5377,-91.2237,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","200102","200102","","Galápagos","Galápagos","EC-W","","Cantón Santa Cruz","","Puerto Ayora","","","","",-0.7402,-90.3138,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","200105","200105","","Galápagos","Galápagos","EC-W","","Cantón Santa Cruz","","Bellavista","","","","",-0.6955,-90.3255,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","200106","200106","","Galápagos","Galápagos","EC-W","","Cantón Santa Cruz","","Isla Pinzon","","","","",-0.4848,-90.4482,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010101","010101","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_El Vecino","","","","",-2.8965,-79.0029,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010102","010102","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_El Vecino","","","","",-2.8867,-78.9943,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010103","010103","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Totorocoha","","","","",-2.8905,-78.9818,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010104","010104","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Totorocoha","","","","",-2.9016,-78.9903,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010105","010105","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Cañaribamba","","","","",-2.881,-79.0117,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010106","010106","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_San Blas","","","","",-2.8523,-79.0158,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010107","010107","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_El Sagrario","","","","",-2.8629,-78.984,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010108","010108","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Gil Ramirez Davalos","","","","",-2.8483,-78.9433,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010109","010109","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Bellavista","","","","",-2.8665,-78.9334,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010110","010110","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Bellavista","","","","",-2.8639,-78.8902,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010111","010111","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Sinincay","","","","",-2.8515,-79.0142,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010112","010112","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Hermano Miguel","","","","",-2.801,-79.1703,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010113","010113","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Machangara","","","","",-2.7691,-79.0567,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010114","010114","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Cuenca_Machangara","","","","",-2.7341,-79.0253,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010115","010115","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Paccha-Nulti","","","","",-2.7932,-78.9698,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010116","010116","","Azuay","Azuay","EC-A","","Cantón Cuenca","","San Joaquin","","","","",-2.8958,-79.0513,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010117","010117","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Sayausi","","","","",-2.8714,-79.0723,"Pacific/Galapagos","UTC -6.0"
"EC","ECU","Ecuador","Ecuador","SA","South America","010118","010118","","Azuay","Azuay","EC-A","","Cantón Cuenca","","Checa (Jidcay)-Chiquintad","","","","",-2.8729,-79.0459,"Pacific/Galapagos","UTC -6.0"
