"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"EG","EGY","Egypt","مصر","AF","Africa","42111","42111","Port Said","","Port Said","","","Qesm El Ganob","","El Ganob","","","","",31.120935,32.182525,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","84711","84711","Red Sea","","Safaga","","","Qesm Safaga","","El Nasr - Km 85 Safaga Road - Qena","","","","",26.5891915,33.4285574,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","83729","83729","Qena","","Qous","","","Markaz Qous","","El Meari","","","","",25.900308,32.777964,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","11774","11774","Cairo","","Cairo","","","Qesm Heliopolis","","Manshiat El Bakry","","","","",30.08768,31.309,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","22728","22728","El Behera","","New El Nobaria","","","Qesm Gharb El Nobaria - El Kharegeen Village","","Hussein Abo El Yousr","","","","",30.65553,29.883153,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","41111","41111","El Ismailia","","El Ismailia","","","Desert of Abo Sower Center","","Desert of Abo Sower Center","","","","",30.483177,32.17859,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","32881","32881","El Menoufia","","Menouf","","","Markaz Menouf","","Monshat Ghamrin","","","","",30.463318,30.904878,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","11371","11371","Cairo","","Cairo","","","Qesm 2nd Nasser City","","Nady El Saka El Hadid","","","","",30.048137,31.312747,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","51714","51714","Giza","","El Wahat El Bahariya","","","Desert of El Wahat El Bahariya","","","","","","",28.06794,27.736709,"Africa/Cairo","UTC +2.0"
"EG","EGY","Egypt","مصر","AF","Africa","22762","22762","El Behera","","El Delengat","","","Markaz El Delengat","","El Bostan Qebly El Nobaria","","","","",30.6392519,30.4306418,"Africa/Cairo","UTC +2.0"
