"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"ES","ESP","Spain","España","EU","Europe","01001","01001","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.849,-2.672,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01002","01002","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.852,-2.661,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01003","01003","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.846,-2.658,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01004","01004","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.844,-2.667,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01005","01005","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.843,-2.672,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01006","01006","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.838,-2.665,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01007","01007","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Armentia","Armentia","","",42.832,-2.698,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01007","01007","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.839,-2.69,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01008","01008","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.847,-2.683,"Europe/Madrid","UTC +1.0"
"ES","ESP","Spain","España","EU","Europe","01009","01009","","Pais Vasco","","ES-PV","Álava","","Gasteiz / Vitoria","","Vitoria-Gasteiz","Vitoria-Gasteiz","","",42.853,-2.685,"Europe/Madrid","UTC +1.0"
