"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","1000","1000","","Addis Ababa","Addis Ababa","ET-AA","Addis Ababa Zone 1","Addis Ababa Zone 1","Addis Ababa","Addis Ababa","","","","",9.0191936,38.7524635,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","1000","1000","","Addis Ababa","Addis Ababa","ET-AA","Addis Ababa Zone 1","Addis Ababa Zone 1","Addis Ababa, Addis Ababa Stadium","Addis Ababa, Addis Ababa Stadium","","","","",9.013278,38.7564412,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","1000","1000","","Addis Ababa","Addis Ababa","ET-AA","Addis Ababa Zone 1","Addis Ababa Zone 1","Addis Ababa, Bole International Airport","Addis Ababa, Bole International Airport","","","","",8.9837879,38.7963064,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","1150","1150","","Addis Ababa","Addis Ababa","ET-AA","Addis Ababa Zone 2","Addis Ababa Zone 2","Alem Gena","Alem Gena","","","","",9.0191936,38.7524635,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","1000","1000","","Addis Ababa","Addis Ababa","ET-AA","Addis Ababa Zone 2","Addis Ababa Zone 2","Alem Gena, Addis Ababa Liddetta Airport","Alem Gena, Addis Ababa Liddetta Airport","","","","",9.0049771,38.7240415,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","1000","1000","","Addis Ababa","Addis Ababa","ET-AA","Addis Ababa Zone 2","Addis Ababa Zone 2","Alem Gena, Mebrat Hayel Stadium","Alem Gena, Mebrat Hayel Stadium","","","","",9.0191936,38.7524635,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","1230","1230","","Addis Ababa","Addis Ababa","ET-AA","Addis Ababa Zone 6","Addis Ababa Zone 6","Ak'ak'i Besek'a","Ak'ak'i Besek'a","","","","",8.8559509,38.7858822,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","3020","3020","","Dire Dawa","Dire Dawa","ET-DD","Dire Dawa","Dire Dawa","Melka Jebti","Melka Jebti","","","","",9.6048717,41.85850809999999,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","3220","3220","","Dire Dawa","Dire Dawa","ET-DD","Dire Dawa","Dire Dawa","Alemaya","Alemaya","","","","",9.6048717,41.85850809999999,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","3000","3000","","Dire Dawa","Dire Dawa","ET-DD","Dire Dawa","Dire Dawa","Dire Dawa","Dire Dawa","","","","",9.6048717,41.85850809999999,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","3020","3020","","Dire Dawa","Dire Dawa","ET-DD","Dire Dawa","Dire Dawa","Dire Dawa, Aba Tenna Dejazmatch Yilma Airport","Dire Dawa, Aba Tenna Dejazmatch Yilma Airport","","","","",9.6127607,41.8578927,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","3000","3000","","Dire Dawa","Dire Dawa","ET-DD","Dire Dawa","Dire Dawa","Dire Dawa, Dire Dawa Stadium","Dire Dawa, Dire Dawa Stadium","","","","",9.5820994,41.8581029,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","3220","3220","","Dire Dawa","Dire Dawa","ET-DD","Dire Dawa","Dire Dawa","K'ersa","K'ersa","","","","",9.6048717,41.85850809999999,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7260","7260","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Afambo","Afambo","","","","",11.4723371,41.6771989,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Alito","Alito","","","","",12.4914326,40.9842193,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7260","7260","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Asayita","Asayita","","","","",11.5675793,41.4369835,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Ch'ifra","Ch'ifra","","","","",11.6038092,40.016606,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7260","7260","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Dedai","Dedai","","","","",11.9037376,41.7765418,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7260","7260","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Deda'I","Deda'I","","","","",11.9037376,41.7765418,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Dermadu","Dermadu","","","","",11.4163223,40.0612141,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Dubti","Dubti","","","","",11.7367959,41.0822359,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Eli Wiha","Eli Wiha","","","","",11.2572361,40.3720871,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7260","7260","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Elida'ar","Elida'ar","","","","",12.0523264,41.9231823,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Harbu","Harbu","","","","",10.9253356,39.7850299,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7260","7260","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Lofefle","Lofefle","","","","",12.0891008,41.9712747,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Logiya","Logiya","","","","",11.7232419,40.9763542,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7260","7260","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Manda","Manda","","","","",12.4128805,42.1818907,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Mile","Mile","","","","",11.4222315,40.7639989,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Serdo","Serdo","","","","",11.9595797,41.3056879,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 1","Afar Zone 1","Tendaho","Tendaho","","","","",11.6912661,40.9552796,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 2","Afar Zone 2","Aroley","Aroley","","","","",13.206648,39.7778352,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 2","Afar Zone 2","Asale","Asale","","","","",14.0207061,40.4006833,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 2","Afar Zone 2","Berahle","Berahle","","","","",13.8636044,40.0210039,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 2","Afar Zone 2","Dalol","Dalol","","","","",14.2388781,40.2937269,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 2","Afar Zone 2","Deba'Ina","Deba'Ina","","","","",13.9381637,39.7745204,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 2","Afar Zone 2","Mengela","Mengela","","","","",14.2834939,39.7295701,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 2","Afar Zone 2","Shehet","Shehet","","","","",13.3583445,39.7498705,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 2","Afar Zone 2","Urucur","Urucur","","","","",12.1056239,40.6346851,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Algeyta","Algeyta","","","","",12.1056239,40.6346851,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Amibara","Amibara","","","","",9.4648344,40.390488,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Arraha","Arraha","","","","",9.7353299,40.45621089999999,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Awash","Awash","","","","",8.991737299999999,40.1631879,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Dedecha","Dedecha","","","","",9.1349754,39.83451300000001,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Gawani","Gawani","","","","",12.1056239,40.6346851,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Teo","Teo","","","","",12.1056239,40.6346851,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Teo, Lower Valley of the Awash","Teo, Lower Valley of the Awash","","","","",11.1053328,40.5916143,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7240","7240","","Afar","Afar","ET-AF","Afar Zone 3","Afar Zone 3","Trena","Trena","","","","",12.1056239,40.6346851,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 4","Afar Zone 4","Didigsala","Didigsala","","","","",12.1056239,40.6346851,"Africa/Addis_Ababa","UTC +3.0"
"ET","ETH","Ethiopia","Ityopya ","AF","Africa","7220","7220","","Afar","Afar","ET-AF","Afar Zone 4","Afar Zone 4","Sifani","Sifani","","","","",12.266667,40.35,"Africa/Addis_Ababa","UTC +3.0"
