"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"FI","FIN","Finland","Suomi","EU","Europe","00100","00100","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1714,24.9316,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00102","00102","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1725,24.9328,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00120","00120","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1632,24.9391,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00121","00121","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00130","00130","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1645,24.9487,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00131","00131","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00140","00140","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1578,24.9525,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00141","00141","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00150","00150","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.157,24.9369,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00151","00151","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00160","00160","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1671,24.9684,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00161","00161","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00170","00170","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1728,24.9554,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00171","00171","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00180","00180","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1634,24.919,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00181","00181","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00190","00190","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.146,24.9851,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00191","00191","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00200","00200","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1603,24.8714,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00201","00201","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00210","00210","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1513,24.8827,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00211","00211","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00220","00220","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1573,24.9173,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00221","00221","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00230","00230","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.214,24.9195,"Europe/Helsinki","UTC +2.0"
"FI","FIN","Finland","Suomi","EU","Europe","00231","00231","","Uusimaa","Uusimaa","FI-18","","Helsinki","","Helsinki","","","","",60.1695,24.9354,"Europe/Helsinki","UTC +2.0"
