"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB10 1","AB101","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Midstocket/Rosemount","Midstocket/Rosemount","","",57.146588,-2.106148,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB10 6","AB106","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Airyhall/Broomhill/Garthdee","Airyhall/Broomhill/Garthdee","","",57.131538,-2.137512,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB10 7","AB107","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Airyhall/Broomhill/Garthdee","Airyhall/Broomhill/Garthdee","","",57.128577,-2.12773,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB11 5","AB115","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","GeorgeSt/Harbour","GeorgeSt/Harbour","","",57.147476,-2.095396,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB11 6","AB116","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Torry/Ferryhill","Torry/Ferryhill","","",57.141387,-2.10471,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB11 7","AB117","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Torry/Ferryhill","Torry/Ferryhill","","",57.133947,-2.101972,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB11 8","AB118","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Torry/Ferryhill","Torry/Ferryhill","","",57.13594,-2.062991,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB11 9","AB119","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Torry/Ferryhill","Torry/Ferryhill","","",57.136751,-2.080234,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB12 3","AB123","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Kincorth/Nigg/Cove","Kincorth/Nigg/Cove","","",57.116221,-2.089249,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB12 4","AB124","","Scotland","Scotland","GB-SCT","Aberdeenshire","Aberdeenshire","Aberdeenshire","Aberdeenshire","NorthKincardine","NorthKincardine","","",57.070019,-2.155172,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB12 5","AB125","","Scotland","Scotland","GB-SCT","Aberdeenshire","Aberdeenshire","Aberdeenshire","Aberdeenshire","NorthKincardine","NorthKincardine","","",57.112898,-2.15651,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB12 9","AB129","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","GeorgeSt/Harbour","GeorgeSt/Harbour","","",57.148879,-2.097422,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB13 0","AB130","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","LowerDeeside","LowerDeeside","","",57.103422,-2.234264,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB14 0","AB140","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","LowerDeeside","LowerDeeside","","",57.099875,-2.269981,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB15 4","AB154","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Hazlehead/QueensCross/Countessw","Hazlehead/QueensCross/Countessw","","",57.140859,-2.137452,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB15 5","AB155","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Midstocket/Rosemount","Midstocket/Rosemount","","",57.149516,-2.136127,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB15 6","AB156","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Hazlehead/QueensCross/Countessw","Hazlehead/QueensCross/Countessw","","",57.146694,-2.161383,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB15 7","AB157","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Airyhall/Broomhill/Garthdee","Airyhall/Broomhill/Garthdee","","",57.130776,-2.148352,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB15 8","AB158","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","LowerDeeside","LowerDeeside","","",57.129473,-2.229235,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB15 9","AB159","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","LowerDeeside","LowerDeeside","","",57.121586,-2.185957,"Europe/London","UTC+01:00"
"GB","GBR","United Kingdom","United Kingdom","EU","Europe","AB16 5","AB165","","Scotland","Scotland","GB-SCT","AberdeenCity","AberdeenCity","Aberdeen","Aberdeen","Hilton/Woodside/Stockethill","Hilton/Woodside/Stockethill","","",57.161312,-2.128032,"Europe/London","UTC+01:00"
