"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A20013","A20013","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","New Ayaase","New Ayaase","","","","",6.28880000000002,-1.51210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A20073","A20073","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","Fomena","Fomena","","","","",6.26380000000002,-1.51210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A20099","A20099","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","Ayasi","Ayasi","","","","",6.28880000000002,-1.53710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A20123","A20123","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","Fomena","Fomena","","","","",6.28880000000002,-1.48710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A20188","A20188","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","Dompoase","Dompoase","","","","",6.31380000000002,-1.53710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A20623","A20623","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","Esiankwanta","Esiankwanta","","","","",6.33880000000002,-1.56210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A21342","A21342","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","Bobriase","Bobriase","","","","",6.28880000000002,-1.61210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A22285","A22285","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","Abadwum","Abadwum","","","","",6.28880000000002,-1.66210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A27797","A27797","","Ashanti","Ashanti","GH-AH","Adansi North","Adansi North","Anyankyerem","Anyankyerem","","","","",6.26380000000002,-1.68710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A30001","A30001","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","New Edubiase","New Edubiase","","","","",6.06380000000002,-1.38710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A30161","A30161","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Mpentemua","Mpentemua","","","","",6.08880000000002,-1.38710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A30172","A30172","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Amudurasi","Amudurasi","","","","",6.08880000000002,-1.41210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A30431","A30431","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Menang","Menang","","","","",6.03880000000002,-1.43710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A30554","A30554","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Kramokrom","Kramokrom","","","","",6.01380000000002,-1.41210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A30565","A30565","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Apeja","Apeja","","","","",6.01380000000002,-1.36210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A30603","A30603","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Aworoso","Aworoso","","","","",6.11380000000002,-1.38710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A30649","A30649","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Obuobi","Obuobi","","","","",6.03880000000002,-1.33710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A31034","A31034","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Onyan","Onyan","","","","",6.01380000000002,-1.46210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A31069","A31069","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Kramokrom","Kramokrom","","","","",5.98880000000002,-1.41210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A31090","A31090","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Apagya","Apagya","","","","",5.98880000000002,-1.36210000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A31100","A31100","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Wuruyiye","Wuruyiye","","","","",5.98880000000002,-1.33710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A31147","A31147","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Breku","Breku","","","","",6.13880000000002,-1.33710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A31694","A31694","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Anwona","Anwona","","","","",6.06380000000002,-1.48710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A31705","A31705","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Onyan","Onyan","","","","",6.01380000000002,-1.48710000000001,"Africa/Accra","UTC +0.0"
"GH","GHA","Ghana ","Ghana ","AF","Africa","A31880","A31880","","Ashanti","Ashanti","GH-AH","Adansi South","Adansi South","Nkranfo Nkwanta","Nkranfo Nkwanta","","","","",5.96380000000002,-1.41210000000001,"Africa/Accra","UTC +0.0"
