"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"GR","GRC","Greece","Ελλάδα","EU","Europe","663 00","66300","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Δοξάτο","Doxato","","","","",41.092649,24.230834,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","661 00","66100","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Δράμα","Drama","","","","",41.1500495,24.1467915,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","660 31","66031","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Καλαμπακι","Kalabaki","","","","",41.050883,24.187948,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","660 33","66033","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Κατω Νευροκοπι","Kato Nefrokopi","","","","",41.343971,23.86659,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","660 32","66032","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Κυρια","Kiria","","","","",41.099272,24.289256,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","660 37","66037","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Νικηφόρος","Nikiforos","","","","",41.187334,24.411151,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","660 35","66035","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Παρανεστι","Paranesti","","","","",41.266698,24.501542,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","662 00","66200","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Προσοτσανη","Prosotsani","","","","",41.178642,23.972157,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","660 34","66034","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Δράμας","Drama","Φωτολιβοσ","Fotolivos","","","","",41.0512662,24.0422121,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","681 00","68100","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Αλεξανδρουπολη","Alexandroypoli","","","","",40.8196033,25.8886092,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 12","68012","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Γεφυρα Κηπων","Gefira Kipon","","","","",40.8635183,25.9885541,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","683 00","68300","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Διδυμοτειχο","Didimoticho","","","","",41.347804,26.493111,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 07","68007","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Δικαια","Dikea","","","","",41.704575,26.297943,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 06","68006","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Κυπρινοσ","Kiprinos","","","","",41.575702,26.226658,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 04","68004","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Λαβαρα","Lavara","","","","",41.270265,26.384835,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 10","68010","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Μεταξαδεσ","Metaxades","","","","",41.418915,26.22417,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 01","68001","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Νεα Βυσσα","Nea Vissa","","","","",41.58994,26.543879,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","682 00","68200","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Ορεστιάδα","Orestiada","","","","",41.50695,26.531533,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 13","68013","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Πεπλοσ","Peplos","","","","",40.963173,26.331224,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 14","68014","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Ριζια","Rizia","","","","",41.62338,26.426049,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","680 02","68002","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Σαμοθρακη","Samothraki","","","","",40.474987,25.524436,"Europe/Athens","UTC+02:00"
"GR","GRC","Greece","Ελλάδα","EU","Europe","684 00","68400","","Ανατολική Μακεδονία Και Θράκη","East Macedonia And Thrace","","Νομός Έβρου","Evros","Σουφλι","Soyfli","","","","",41.193029,26.300459,"Europe/Athens","UTC+02:00"
