"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"GT","GTM","Guatemala","Guatemala","NA","North America","16000","16000","DEPTO DE ALTA VERAPAZ","","DEPTO DE ALTA VERAPAZ","","","San Juan Chamelco","","","","","","",15.387,-90.1667,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16001","16001","COBAN","","DEPTO DE ALTA VERAPAZ","","","Coban","","","","","","",15.4833,-90.3667,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16002","16002","SANTA CRUZ VERAPAZ","","DEPTO DE ALTA VERAPAZ","","","Santa Cruz Verapaz","","","","","","",15.3667,-90.4333,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16003","16003","SAN CRISTOBAL VERAPAZ","","DEPTO DE ALTA VERAPAZ","","","Santa Cruz Verapaz","","","","","","",15.3833,-90.4,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16004","16004","TACTIC","","DEPTO DE ALTA VERAPAZ","","","Tactic","","","","","","",15.3333,-90.3,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16005","16005","TAMAHU","","DEPTO DE ALTA VERAPAZ","","","San Miguel Tucurú","","","","","","",15.3333,-90.1667,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16006","16006","TUCURU","","DEPTO DE ALTA VERAPAZ","","","San Miguel Tucurú","","","","","","",15.3,-90.0667,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16007","16007","PANZOS","","DEPTO DE ALTA VERAPAZ","","","Senahu","","","","","","",15.4,-89.6667,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16008","16008","SENAHU","","DEPTO DE ALTA VERAPAZ","","","Senahu","","","","","","",15.4,-89.8333,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16009","16009","SAN PEDRO CARCHA","","DEPTO DE ALTA VERAPAZ","","","San Pedro Carcha","","","","","","",15.4833,-90.2667,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16010","16010","SAN JUAN CHAMELCO","","DEPTO DE ALTA VERAPAZ","","","Coban","","","","","","",15.4333,-90.3333,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16011","16011","LANQUIN","","DEPTO DE ALTA VERAPAZ","","","San Agustín Lanquín","","","","","","",15.5667,-89.9667,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16012","16012","CAHABON","","DEPTO DE ALTA VERAPAZ","","","Santa María Cahabón","","","","","","",15.5667,-89.8167,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16013","16013","CHISET","","DEPTO DE ALTA VERAPAZ","","","San Agustín Lanquín","","","","","","",15.5792,-89.9208,"America/Guatemala","UTC -6.0"
"GT","GTM","Guatemala","Guatemala","NA","North America","16014","16014","CHAHAL","","DEPTO DE ALTA VERAPAZ","","","Chahal","","","","","","",15.75,-89.5667,"America/Guatemala","UTC -6.0"
