"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"HU","HUN","Hungary","Magyarország","EU","Europe","7188","7188","","Baranya","","HU-BA","Komlói járás","","Szárász","","","","","",46.349,18.3736,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7300","7300","","Baranya","","HU-BA","Komlói járás","","Komló","","","","","",46.1928,18.2649,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7304","7304","","Baranya","","HU-BA","Komlói járás","","Mánfa","","","","","",46.1667,18.25,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7305","7305","","Baranya","","HU-BA","Komlói járás","","Mecsekpölöske","","","","","",46.2221,18.2112,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7331","7331","","Baranya","","HU-BA","Komlói járás","","Liget","","","","","",46.236,18.1921,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7332","7332","","Baranya","","HU-BA","Komlói járás","","Magyaregregy","","","","","",46.2527,18.3119,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7333","7333","","Baranya","","HU-BA","Komlói járás","","Vékény","","","","","",46.2687,18.3416,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7333","7333","","Baranya","","HU-BA","Komlói járás","","Kárász","","","","","",46.2643,18.312,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7334","7334","","Baranya","","HU-BA","Komlói járás","","Köblény","","","","","",46.2955,18.3025,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7334","7334","","Baranya","","HU-BA","Komlói járás","","Szalatnak","","","","","",46.29,18.2812,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7342","7342","","Baranya","","HU-BA","Hegyháti járás","","Mágocs","","","","","",46.35,18.2324,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7343","7343","","Baranya","","HU-BA","Hegyháti járás","","Nagyhajmás","","","","","",46.3754,18.2888,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7344","7344","","Baranya","","HU-BA","Hegyháti járás","","Mekényes","","","","","",46.3912,18.3334,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7345","7345","","Baranya","","HU-BA","Hegyháti járás","","Alsómocsolád","","","","","",46.3142,18.2479,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7346","7346","","Baranya","","HU-BA","Komlói járás","","Bikal","","","","","",46.3311,18.283,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7347","7347","","Baranya","","HU-BA","Komlói járás","","Egyházaskozár","","","","","",46.3318,18.3177,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7348","7348","","Baranya","","HU-BA","Komlói járás","","Hegyhátmaróc","","","","","",46.3112,18.3366,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7348","7348","","Baranya","","HU-BA","Komlói járás","","Tófű","","","","","",46.3111,18.3571,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7349","7349","","Baranya","","HU-BA","Komlói járás","","Szászvár","","","","","",46.2767,18.3757,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7351","7351","","Baranya","","HU-BA","Komlói járás","","Máza","","","","","",46.2674,18.3972,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7370","7370","","Baranya","","HU-BA","Hegyháti járás","","Felsőegerszeg","","","","","",46.2544,18.1341,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7370","7370","","Baranya","","HU-BA","Hegyháti járás","","Varga","","","","","",46.2472,18.1431,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7370","7370","","Baranya","","HU-BA","Hegyháti járás","","Meződ","","","","","",46.2904,18.1026,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7370","7370","","Baranya","","HU-BA","Hegyháti járás","","Sásd","","","","","",46.2552,18.1078,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7370","7370","","Baranya","","HU-BA","Komlói járás","","Oroszló","","","","","",46.2184,18.1233,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7370","7370","","Baranya","","HU-BA","Hegyháti járás","","Vázsnok","","","","","",46.2653,18.1248,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7370","7370","","Baranya","","HU-BA","Hegyháti járás","","Palé","","","","","",46.2602,18.07,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7381","7381","","Baranya","","HU-BA","Hegyháti járás","","Tékes","","","","","",46.2874,18.1783,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7381","7381","","Baranya","","HU-BA","Hegyháti járás","","Kisvaszar","","","","","",46.2745,18.2148,"Europe/Budapest","UTC+2.0"
"HU","HUN","Hungary","Magyarország","EU","Europe","7381","7381","","Baranya","","HU-BA","Hegyháti járás","","Kisvaszar","","","","","",46.2833,18.2,"Europe/Budapest","UTC+2.0"
