"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10110","10110","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Gambir","Gambir","Gambir","Gambir","","",-6.1673595,106.8209277,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10120","10120","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Gambir","Gambir","Kebon Kelapa","Kebon Kelapa","","",-6.1639135,106.8243853,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10130","10130","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Gambir","Gambir","Petojo Utara","Petojo Utara","","",-6.163971600000001,106.8148879,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10140","10140","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Gambir","Gambir","Duri Pulo","Duri Pulo","","",-6.163123499999999,106.8016144,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10150","10150","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Gambir","Gambir","Cideng","Cideng","","",-6.1705904,106.8075136,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10160","10160","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Gambir","Gambir","Petojo Selatan","Petojo Selatan","","",-6.1754096,106.8163628,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10210","10210","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Tanah Abang","Tanah Abang","Bendungan Hilir","Bendungan Hilir","","",-6.2088902,106.8075136,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10220","10220","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Tanah Abang","Tanah Abang","Karet Tengsin","Karet Tengsin","","",-6.206036,106.8187671,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10230","10230","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Tanah Abang","Tanah Abang","Kebon Melati","Kebon Melati","","",-6.1965592,106.8162773,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10240","10240","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Tanah Abang","Tanah Abang","Kebon Kacang","Kebon Kacang","","",-6.1907589,106.818097,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10250","10250","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Tanah Abang","Tanah Abang","Kampung Bali","Kampung Bali","","",-6.1856209,106.8163628,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10260","10260","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Tanah Abang","Tanah Abang","Petamburan","Petamburan","","",-6.1961208,106.8075136,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10270","10270","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Tanah Abang","Tanah Abang","Gelora","Gelora","","",-6.2154197,106.8030892,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10310","10310","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Menteng","Menteng","Menteng","Menteng","","",-6.1937297,106.8392111,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10320","10320","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Menteng","Menteng","Pegangsaan","Pegangsaan","","",-6.20301,106.8492414,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10330","10330","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Menteng","Menteng","Cikini","Cikini","","",-6.192514999999999,106.8399623,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10340","10340","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Menteng","Menteng","Kebon Sirih","Kebon Sirih","","",-6.1851432,106.8311122,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10350","10350","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Menteng","Menteng","Gondangdia","Gondangdia","","",-6.192897899999999,106.8281623,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10410","10410","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Senen","Senen","Senen","Senen","","",-6.195351899999999,106.8498184,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10420","10420","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Senen","Senen","Kwitang","Kwitang","","",-6.1829179,106.8406998,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10430","10430","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Senen","Senen","Kenari","Kenari","","",-6.1929378,106.8466001,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10440","10440","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Senen","Senen","Paseban","Paseban","","",-6.192131799999999,106.851763,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10450","10450","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Senen","Senen","Kramat","Kramat","","",-6.184002899999999,106.8466001,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10460","10460","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Senen","Senen","Bungur","Bungur","","",-6.171807599999999,106.8488128,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10510","10510","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Cempaka Putih","Cempaka Putih","Cempaka Putih Timur","Cempaka Putih Timur","","",-6.1761468,106.8724156,"Asia/Jakarta ","UTC+07:00"
"ID","IDN","Indonesia","Indonesia","AS","Asia","10520","10520","","DKI Jakarta","DKI Jakarta","","Jakarta Pusat","Jakarta Pusat","Cempaka Putih","Cempaka Putih","Cempaka Putih Barat","Cempaka Putih Barat","","",-6.1815383,106.8635643,"Asia/Jakarta ","UTC+07:00"
