"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F12","F12","Knock","","Connacht","","","Mayo","","Mayo","","","","",53.7939,-8.9196,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F23","F23","Castlebar","","Connacht","","","Mayo","","Mayo","","","","",53.85,-9.3,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F26","F26","Ballina","","Connacht","","","Mayo","","Mayo","","","","",54.1167,-9.1667,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F28","F28","Westport","","Connacht","","","Mayo","","Mayo","","","","",53.8,-9.5167,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F31","F31","Ballinrobe","","Connacht","","","Mayo","","Mayo","","","","",53.6333,-9.2333,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F35","F35","Ballyhaunis","","Connacht","","","Mayo","","Mayo","","","","",53.7667,-8.7667,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F42","F42","Roscommon","","Connacht","","","Roscommon","","Roscommon","","","","",53.6333,-8.1833,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F45","F45","Castlerea","","Connacht","","","Roscommon","","Roscommon","","","","",53.7667,-8.5,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F52","F52","Boyle","","Connacht","","","Roscommon","","Roscommon","","","","",53.9667,-8.3,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F56","F56","Ballymote","","Connacht","","","Sligo","","Sligo","","","","",54.0833,-8.5167,"Europe/Dublin","UTC +0.0"
"IE","IRL","Republic of Ireland","Éire","EU","Europe","F91","F91","Sligo","","Connacht","","","Sligo","","Sligo","","","","",54.2697,-8.4694,"Europe/Dublin","UTC +0.0"
