"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","4481300","4481300","","","Judea and Samaria","","أورنيت אורנית","Oranit","","","","","","",32.13192,34.99081,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","4482100","4482100","","","Judea and Samaria","","المنطقة الصناعية بركان אזור תעשייה ברקן","A.T. Barkan","","","","","","",32.10949,35.10601,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","9066500","9066500","","","Judea and Samaria","","ألموغ אלמוג","Almog","","","","","","",31.79003,35.46197,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","9065600","9065600","","","Judea and Samaria","","أفنات אבנת","Avnat","","","","","","",31.67904,35.43695,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","8698200","8698200","","","Judea and Samaria","","مدرسة عين جدي الميدانية ביה","","","","","","","",31.51476,35.19611,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","8698100","8698100","","","Judea and Samaria","","نزل عين جدي אכסנית עין גדי","Ein Gedi guesthouse","","","","","","",31.53888,35.19912,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","8537700","8537700","","","Judea and Samaria","","إشكولوت אשכולות","Eshkolot","","","","","","",31.39117,34.90486,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","9069200","9069200","","","Judea and Samaria","","أرجمان ארגמן","Argaman","","","","","","",32.17334,35.52229,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","9042801","9042801","","","Judea and Samaria","","إفرات אפרתה","Efrat Beit HaBahirah 45","","","","","","",31.65359,35.14994,"Asia/Jerusalem","UTC+02:00"
"IL","ISR","Israel","מְדִינַת יִשְׂרָאֵל","AS","Asia","9041500","9041500","","","Judea and Samaria","","أدورة אדורה","Adora","","","","","","",31.55222,35.01764,"Asia/Jerusalem","UTC+02:00"
