"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"IN","IND","India","भारत","AS","Asia","744301","744301","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1167,92.8,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744301","744301","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.2333,92.7833,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744301","744301","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744301","744301","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744301","744301","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",7.5166,93.6031,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744302","744302","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744302","744302","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744302","744302","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744302","744302","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744302","744302","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744302","744302","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744303","744303","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744303","744303","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744303","744303","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744303","744303","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744303","744303","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744304","744304","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744304","744304","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744304","744304","","","Andaman & Nicobar Islands","","","Nicobar","","","","","","",9.1833,92.7667,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744201","744201","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",12.7167,92.9,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744201","744201","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",12.7167,92.9,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744201","744201","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",12.7167,92.9,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744201","744201","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",12.7167,92.9,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.1553,92.8778,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
"IN","IND","India","भारत","AS","Asia","744202","744202","","","Andaman & Nicobar Islands","","","North And Middle Andaman","","","","","","",13.211,92.9389,"Asia/Kolkata","UTC +5.5"
