"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"JO","JOR","Jordan","الأردن","AS","Asia","11100","11100","","","","","محافظة العاصمة","Amman","القصور الملكية","Al Qusur Al Malakiah","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11101","11101","","","","","محافظة العاصمة","Amman","بيت البرلمان","Parliament House","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11104","11104","","","","","محافظة العاصمة","Amman","مطار الملكة علياء","Queen Alia Airport","","","","",31.7216982,35.9964563," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11115","11115","","","","","محافظة العاصمة","Amman","المهاجرين","Al Muhajireen","","","","",31.9463103,35.9251545," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11118","11118","","","","","محافظة العاصمة","Amman","وسط مدينة عمان","Amman City Center","","","","",31.9800739,35.8366624," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11118","11118","","","","","محافظة العاصمة","Amman","جبل القلعة","Jabal Al Qalaa","","","","",31.9526634,35.9354185," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11120","11120","","","","","محافظة العاصمة","Amman","الهاشمي الجنوبي","Al Hashmi Al Janoubi","","","","",31.9620247,35.9528258," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11121","11121","","","","","محافظة العاصمة","Amman","جبل الحسين","Jabal AlHussein","","","","",31.9674446,35.9177805," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11122","11122","","","","","محافظة العاصمة","Amman","جبل القصور","Jabal Al Qusur","","","","",31.9543163,35.9365046," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11122","11122","","","","","محافظة العاصمة","Amman","وادي الحداده","Wadi Al Hidadah","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11123","11123","","","","","محافظة العاصمة","Amman","الهاشمي الشمالي","Al Hashmi Al Shamali","","","","",31.9701589,35.9589407," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11131","11131","","","","","محافظة العاصمة","Amman","المحطة","Al Mahattah","","","","",31.991481,36.0030164," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11131","11131","","","","","محافظة العاصمة","Amman","رغدان","Raghadan","","","","",31.9801045,35.954005," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11133","11133","","","","","محافظة العاصمة","Amman","د. الأميرة علياء","D. Al Ameerah Alia","","","","",31.7227291,35.9864691," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11133","11133","","","","","محافظة العاصمة","Amman","حي التقوى","Hai Al Taqwa","","","","",31.8658253,35.9796273," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11134","11134","","","","","محافظة العاصمة","Amman","عين غزال","Ain Ghazal","","","","",31.9987934,35.9802504," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11134","11134","","","","","محافظة العاصمة","Amman","ماركا الشمالية","Marka Al Shamaliyah","","","","",31.977931,35.98033," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11136","11136","","","","","محافظة العاصمة","Amman","إسكان اليوبيل","Eskan Al Yubeel","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11140","11140","","","","","محافظة العاصمة","Amman","جبل الناصر","Jabal Al Naser","","","","",31.9605156,35.9639208," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11141","11141","","","","","محافظة العاصمة","Amman","جبل التاج","Jabal Al Taj","","","","",31.9493508,35.9502445," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11142","11142","","","","","محافظة العاصمة","Amman","حي هملان","Hai Hamlan","","","","",31.9868635,36.0173125," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11143","11143","","","","","محافظة العاصمة","Amman","حي المنارة","Hai Al Manara","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11145","11145","","","","","محافظة العاصمة","Amman","جبل الجوفة","Jabal Al-jofah","","","","",31.9535927,35.9516023," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11151","11151","","","","","محافظة العاصمة","Amman","اليرموك","Al Yarmouk","","","","",31.9402521,35.9510388," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11151","11151","","","","","محافظة العاصمة","Amman","جبل الأشرفية","Jabal Al Ashrafiyeh","","","","",31.961373,35.9534241," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11151","11151","","","","","محافظة العاصمة","Amman","وادي السرور","Wadi Al Suroor","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11152","11152","","","","","محافظة العاصمة","Amman","الوحدات","Alwehdat","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11152","11152","","","","","محافظة العاصمة","Amman","أم نوارة","Um Nowarah","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11161","11161","","","","","محافظة العاصمة","Amman","جبل النظيف","Jabal Al Natheef","","","","",31.9543163,35.9365046," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11162","11162","","","","","محافظة العاصمة","Amman","الزهور","Azzuhour","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11162","11162","","","","","محافظة العاصمة","Amman","حي الشعيلية","Hai Al Sheailiyah","","","","",31.9543786,35.9105776," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11163","11163","","","","","محافظة العاصمة","Amman","رأس العين","Ras Al-Ain","","","","",31.9394742,35.9259604," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11171","11171","","","","","محافظة العاصمة","Amman","جبل الأخضر","Jabal Al Akhdar","","","","",31.9406282,35.916778," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11171","11171","","","","","محافظة العاصمة","Amman","حي نزال","Hai Nazzal","","","","",31.9321542,35.9120142," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11180","11180","","","","","محافظة العاصمة","Amman","إنتركونتيننتال الأردن","Intercontinental Jordan","","","","",31.953314,35.913148," Asia/Amma","UTC +3.0 "
"JO","JOR","Jordan","الأردن","AS","Asia","11180","11180","","","","","محافظة العاصمة","Amman","جبل عمان","Jabal Amman","","","","",31.9515589,35.9156256," Asia/Amma","UTC +3.0 "
