"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"JP","JPN","Japan","日本","AS","Asia","490-1401","4901401","","","Aichi Ken","","","Yatomi Shi","","Rokujocho","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1402","4901402","","","Aichi Ken","","","Yatomi Shi","","Gotoyama","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1403","4901403","","","Aichi Ken","","","Yatomi Shi","","Toriganjicho","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1403","4901403","","","Aichi Ken","","","Yatomi Shi","","Toriganji","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1404","4901404","","","Aichi Ken","","","Yatomi Shi","","Ikadaba","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1405","4901405","","","Aichi Ken","","","Yatomi Shi","","Kando","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1405","4901405","","","Aichi Ken","","","Yatomi Shi","","Kandocho","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1406","4901406","","","Aichi Ken","","","Yatomi Shi","","Nabehira","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1407","4901407","","","Aichi Ken","","","Yatomi Shi","","Sambyakujima","","","","",35.1053,136.7507,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1411","4901411","","","Aichi Ken","","","Yatomi Shi","","Zentacho","","","","",35.1177,136.7694,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1412","4901412","","","Aichi Ken","","","Yatomi Shi","","Umaganji","","","","",35.1076,136.7663,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1413","4901413","","","Aichi Ken","","","Yatomi Shi","","Kodakaracho","","","","",35.1026,136.7648,"Asia/Tokyo","UTC +9.0"
"JP","JPN","Japan","日本","AS","Asia","490-1413","4901413","","","Aichi Ken","","","Yatomi Shi","","Kodakara","","","","",35.1026,136.7648,"Asia/Tokyo","UTC +9.0"
