"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"KE","KEN","Kenya","Kenya","AF","Africa","20424","20424","","","Rift Valley","","","Bomet","","Bomet East","Oloomirani","Amalo ","","",-0.8180969,35.4309066,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20113","20113","","","Rift Valley","","","Nakuru","","Bahati","","Bahati","","",-0.151918,36.1449137,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20601","20601","","","Rift Valley","","","Samburu","","Samburu North","","Baragoi","","",1.7808287,36.7925994,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20400","20400","","","Rift Valley","","","Bomet","","Bomet East","","Bomet","","",-0.8180969,35.4309066,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20101","20101","","","Rift Valley","","","Nakuru","","Nakuru","","Bondeni","","",-4.0273333,39.680037,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20215","20215","","","Rift Valley","","","Kericho","","Bureti","","Cheborge","","",-0.5799001,35.1878,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20401","20401","","","Rift Valley","","","Bomet","","Chepalungu","","Chebunyo","","",-1.2857857,36.8200253,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20222","20222","","","Rift Valley","","","Nandi","","Nandi","","Chemamul","","",-1.2857857,36.8200253,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20407","20407","","","Rift Valley","","","Narok","","Narok","","Chemaner","","",-1.2857857,36.8200253,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20217","20217","","","Nairobi","","","Nairobi","","Highridge","","Chepsinendet","","",-1.2626336,36.8156719,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20410","20410","","","Rift Valley","","","Bomet","","Kipkoibet","","Cheptalal","","",-0.8180969,35.4309066,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20217","20217","","","Rift Valley","","","Kericho","","Kipkelion East","","Chesinendet","","",-1.2857857,36.8200253,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20118","20118","","","Rift Valley","","","Nakuru","","Dundori","","Dundori","","",-0.2532731,36.2340388,"Africa/Nairobi","UTC +3.0"
"KE","KEN","Kenya","Kenya","AF","Africa","20115","20115","","","Rift Valley","","","Nakuru","","Njoro","","Egerton","","",-0.3711419,35.9376681,"Africa/Nairobi","UTC +3.0"
