"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"KR","KOR","South Korea","대한민국","AS","Asia","63000","63000","","제주특별자치도","","","제주시","","추자면","","","","","",33.9626,126.2965,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63001","63001","","제주특별자치도","","","제주시","","추자면","","","","","",33.9469,126.3247,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63002","63002","","제주특별자치도","","","제주시","","한경면","","","","","",33.3453,126.1878,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63003","63003","","제주특별자치도","","","제주시","","한경면","","","","","",33.3592,126.203,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63004","63004","","제주특별자치도","","","제주시","","한경면","","","","","",33.3349,126.2293,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63005","63005","","제주특별자치도","","","제주시","","한경면","","","","","",33.33,126.2617,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63006","63006","","제주특별자치도","","","제주시","","한경면","","","","","",33.3132,126.2507,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63007","63007","","제주특별자치도","","","제주시","","한경면","","","","","",33.2997,126.2287,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63008","63008","","제주특별자치도","","","제주시","","한경면","","","","","",33.3024,126.1825,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63009","63009","","제주특별자치도","","","제주시","","한경면","","","","","",33.327,126.1738,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63010","63010","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3848,126.2251,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63011","63011","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3955,126.2443,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63012","63012","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4034,126.2542,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63013","63013","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4053,126.2639,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63014","63014","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3864,126.2732,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63015","63015","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3804,126.2533,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63016","63016","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3625,126.242,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63017","63017","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3493,126.2566,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63018","63018","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3593,126.2723,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63019","63019","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3588,126.2954,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63020","63020","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3452,126.3044,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63021","63021","","제주특별자치도","","","제주시","","한림읍","","","","","",33.3601,126.3203,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63022","63022","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4,126.2928,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63023","63023","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4286,126.2677,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63024","63024","","제주특별자치도","","","제주시","","한림읍","","","","","",33.44,126.2886,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63025","63025","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4226,126.2946,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63026","63026","","제주특별자치도","","","제주시","","한림읍","","","","","",33.423,126.2784,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63027","63027","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4103,126.2787,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63028","63028","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4127,126.2704,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63029","63029","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4134,126.2666,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63030","63030","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4183,126.2657,"Asia/Seoul","UTC +9.0"
"KR","KOR","South Korea","대한민국","AS","Asia","63031","63031","","제주특별자치도","","","제주시","","한림읍","","","","","",33.4193,126.2637,"Asia/Seoul","UTC +9.0"
