"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20000","20000","Kandy","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.2955,80.6356,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20032","20032","Halloluwa","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.2031,80.3386,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20034","20034","Yatihalagala","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.2932,80.5982,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20042","20042","lhala Kobbekaduwa","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3154,80.5887,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20044","20044","Sangarajapura","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3154,80.5887,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20048","20048","Kulugammana","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3154,80.5887,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20052","20052","Uduwa","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3637,80.4845,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20060","20060","Hataraliyadda","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3369,80.4658,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20062","20062","Aludeniya","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3686,80.4672,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20068","20068","Dedunupitiya","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3353,80.4313,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20072","20072","Nugawela","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3333,80.6,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20080","20080","Werellagama","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3167,80.5833,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20084","20084","Pallekotuwa","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3373,80.5663,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20086","20086","Kumburegama","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.358,80.5493,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20092","20092","Harankahawa","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.4012,80.5289,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20094","20094","Udahingulwala","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.4012,80.5289,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20095","20095","Gallellagama","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.4012,80.5289,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20100","20100","Galagedara","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.373,80.5206,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20106","20106","Poholiyadda","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3472,80.5208,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20108","20108","Wettawa","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3526,80.5147,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20109","20109","Minigamuwa","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3376,80.5026,"Asia/Colombo","UTC +5.5"
"LK","LKA","Sri Lanka","ශ්‍රී ලංකාව","AS","Asia","20112","20112","Pujapitiya","Central Province","Central Province","LK-2","","Kandy","","","","","","",7.3742,80.586,"Asia/Colombo","UTC +5.5"
