"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00100","00100","","Klaipėdos","Klaipėdos","","Klaipėdos r.","Klaipėdos r.","Palanga","Palanga","Anaičių g.","Anaičių g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00100","00100","","Klaipėdos","Klaipėdos","","Klaipėdos r.","Klaipėdos r.","Palanga","Palanga","Šaipių k.","Šaipių k.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00100","00100","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Anaičių g.","Anaičių g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00100","00100","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Vokiečių g.","Vokiečių g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00101","00101","","Klaipėdos","Klaipėdos","","Klaipėdos r.","Klaipėdos r.","Palanga","Palanga","Vokiečių g.","Vokiečių g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00101","00101","","Klaipėdos","Klaipėdos","","Klaipėdos r.","Klaipėdos r.","Palanga","Palanga","Aitvarų g.","Aitvarų g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00101","00101","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Vytauto g.","Vytauto g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00101","00101","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Klaipėdos pl.","Klaipėdos pl.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00101","00101","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","S.Dariaus ir S.Girėno g.","S.Dariaus ir S.Girėno g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Aklinoji g.","Aklinoji g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Matininkų g.","Matininkų g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Lenktoji g.","Lenktoji g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Projektuotojų g.","Projektuotojų g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Lydekų g.","Lydekų g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Kretingos g.","Kretingos g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Trumpoji g.","Trumpoji g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Molyno g.","Molyno g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Valteriškės g.","Valteriškės g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Žiogupio g.","Žiogupio g.","","","","","Europe/Vilnius","UTC+03:00"
"LT","LTU","Lithuania","Lietuva","EU","Europe","00102","00102","","Klaipėdos","Klaipėdos","","Palangos m.","Palangos m.","Palanga","Palanga","Žirgų tak.","Žirgų tak.","","","","","Europe/Vilnius","UTC+03:00"
