"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"MA","MAR","Morocco","المغرب","AF","Africa","32000","32000","","Al Hoceïma","Al Hoceima","MA-HOC","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.2516,-3.9372,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32003","32003","","","Ait Youssef Ou Ali","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1065,-3.9685,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32004","32004","","","Arbaa Taourirt","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9265,-3.832,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32006","32006","","","Rouadi","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1412,-4.1363,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32013","32013","","","Senada","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.0745,-4.2158,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32014","32014","","","Torres De Alcala","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1521,-4.3259,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32022","32022","","","Ait Kamra","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.0672,-3.9867,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32023","32023","","","Chakrane","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.95,-3.98,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32024","32024","","","Izemmouren","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1844,-3.9933,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32050","32050","","","Bni Bouayach","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1051,-3.8403,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32072","32072","","","Nekkour","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.0982,-4.0326,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32102","32102","","","Bni Boufrah","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1002,-4.3106,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32122","32122","","","Beni Gmil Mestassa","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.0584,-4.1738,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32152","32152","","","Bni Hadifa","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.0225,-4.1401,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32172","32172","","","Bni Abdallah","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.0526,-4.0707,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32202","32202","","","Imrabten","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1464,-3.8506,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32250","32250","","","Imzouren","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1464,-3.8506,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32253","32253","","","Troukout","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1464,-3.8506,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32302","32302","","","Issaguen","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9391,-4.4938,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32322","32322","","","Ikaouen","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.7492,-4.6575,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32323","32323","","","Ketama","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9177,-4.5713,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32324","32324","","","Tabarannt","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9395,-4.5522,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32325","32325","","","Taghzout","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",35.1517,-4.4277,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32326","32326","","","Tizi Tchen","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9395,-4.5522,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32350","32350","","","Targuist","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9377,-4.3186,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32352","32352","","","Bni Ammart","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9377,-4.3186,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32372","32372","","","Ain Benabbou","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9391,-4.4938,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32373","32373","","","Bni Bounsar","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9391,-4.4938,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32374","32374","","","Bni Bchir","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9391,-4.4938,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","32375","32375","","","Sidi Bouzineb","","","Tanger-Tetouan-Al Hoceima","","Al-Hoceima","","","","",34.9391,-4.4938,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","91000","91000","","Chefchaouen","Chefchaouen","MA-CHE","","Tanger-Tetouan-Al Hoceima","","Chefchaouen Province","","","","",35.1688,-5.2636,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","91002","91002","","","Bab Taza","","","Tanger-Tetouan-Al Hoceima","","Chefchaouen Province","","","","",35.0617,-5.1983,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","91003","91003","","","Steha","","","Tanger-Tetouan-Al Hoceima","","Chefchaouen Province","","","","",35.1152,-5.2309,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","91022","91022","","","Ain Beida","","","Tanger-Tetouan-Al Hoceima","","Chefchaouen Province","","","","",35.0839,-5.0052,"Africa/Casablanca","UTC+1.0"
"MA","MAR","Morocco","المغرب","AF","Africa","91023","91023","","","Asifane","","","Tanger-Tetouan-Al Hoceima","","Chefchaouen Province","","","","",35.1136,-4.9709,"Africa/Casablanca","UTC+1.0"
