"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501001","1501001","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501002","1501002","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501003","1501003","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501004","1501004","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501005","1501005","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501006","1501006","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501007","1501007","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501008","1501008","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501009","1501009","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501010","1501010","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501011","1501011","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501012","1501012","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
"MM","MMR","myanmar","မြန်မာနိုင်ငံ","AS","Asia","1501200","1501200","","နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","Naypyitaw Union Territory","","ဇမ္ဗူသီရိ မြို့နယ်","Za Bu Thi Ri Township","","","","","","","","","Asia/Yangon","utc +6.30"
