"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","632853","632853","","Булган","Bulgan","MN-067","Рашаант","Rashaant","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","850455","850455","","Увс","Uvs","MN-046","Баруунтуруун","Baruunturuun","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","655559","655559","","Архангай","Arkhangai","","Эрдэнэмандал","Erdenemandal","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","634051","634051","","Булган","Bulgan","MN-067","Хангал","Khangal","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","820157","820157","","Говь-Алтай","Govi-Altai","","Есөнбулаг","Esonbulag","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","420153","420153","","Говьсүмбэр","Govisumber","MN-064","Сүмбэр","Sumber","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","814659","814659","","Завхан","Zavkhan","","Тэлмэн","Telmen","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","670167","670167","","Хөвсгөл","Khovsgol","","Мөрөн","Moron","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","440157","440157","","Дорноговь","Dornogovi","MN-063","Сайншанд","Sainshand","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","430155","430155","","Сэлэнгэ","Selenge","MN-049","Сүхбаатар","Sukhbaatar","","","","","","","","","Asia/Ulaanbaatar","+08:00"
"MN","MNG","Mongolia","Монгол улс","AS","Asia","631661","631661","","Булган","Bulgan","MN-067","Гурванбулаг","Gurvanbulag","","","","","","","","","Asia/Ulaanbaatar","+08:00"
