"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440001","440001","","Abia","Abia","NG-AB","","Aba North","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440002","440002","","Abia","Abia","NG-AB","","Aba North","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440003","440003","","Abia","Abia","NG-AB","","Aba North","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440004","440004","","Abia","Abia","NG-AB","","Aba South","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440005","440005","","Abia","Abia","NG-AB","","Aba South","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440006","440006","","Abia","Abia","NG-AB","","Aba South","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440007","440007","","Abia","Abia","NG-AB","","Arochukwu","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440008","440008","","Abia","Abia","NG-AB","","Arochukwu","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440009","440009","","Abia","Abia","NG-AB","","Arochukwu","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440010","440010","","Abia","Abia","NG-AB","","Bende","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440011","440011","","Abia","Abia","NG-AB","","Bende","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440012","440012","","Abia","Abia","NG-AB","","Bende","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440013","440013","","Abia","Abia","NG-AB","","Ikwuano","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440014","440014","","Abia","Abia","NG-AB","","Ikwuano","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440015","440015","","Abia","Abia","NG-AB","","Isiala-Ngwa North","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440016","440016","","Abia","Abia","NG-AB","","Isiala-Ngwa North","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440017","440017","","Abia","Abia","NG-AB","","Isiala-Ngwa South","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440018","440018","","Abia","Abia","NG-AB","","Isiala-Ngwa South","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440019","440019","","Abia","Abia","NG-AB","","Isuikwuato","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440020","440020","","Abia","Abia","NG-AB","","Isuikwuato","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440021","440021","","Abia","Abia","NG-AB","","Isuikwuato","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440022","440022","","Abia","Abia","NG-AB","","Umu Nneochi","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440023","440023","","Abia","Abia","NG-AB","","Umu Nneochi","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440024","440024","","Abia","Abia","NG-AB","","Obi Ngwa","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440025","440025","","Abia","Abia","NG-AB","","Obi Ngwa","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440026","440026","","Abia","Abia","NG-AB","","Obi Ngwa","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440027","440027","","Abia","Abia","NG-AB","","Ohafia","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440028","440028","","Abia","Abia","NG-AB","","Ohafia","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440029","440029","","Abia","Abia","NG-AB","","Osisioma","","","","","","","","","Africa/Lagos","+01:00"
"NG","NGA","Nigeria","Nigeria","AF","Africa","440030","440030","","Abia","Abia","NG-AB","","Osisioma","","","","","","","","","Africa/Lagos","+01:00"
